"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Paul Pogba","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Rate team performance?","Rate final result?","Rate Ole Gunnar Solskjaer","Rate opponent - Wolves (only by this performance)","Did the referee do a good job? (optional)"
"2019/08/20 9:27:24 PM GMT+1","6","6","7","6","8","7","6","7","5","5","8","7","6","8","6","No"
"2019/08/20 9:28:45 PM GMT+1","8","7","8","8","10","7","5","8","4","6","8","8","8","6","8","No"
"2019/08/20 9:29:53 PM GMT+1","7","7","8","7","9","6","6","7","7","7","8","7","6","6","7","No"
"2019/08/20 9:31:19 PM GMT+1","8","6","7","7","9","5","7","8","5","5","8","7","6","6","7","No"
"2019/08/20 9:33:27 PM GMT+1","6","5","7","7","9","6","5","6","4","5","6","6","4","5","5","No"
"2019/08/20 9:34:50 PM GMT+1","6","6","6","6","8","6","6","6","4","4","6","6","4","4","3","No"
"2019/08/20 9:37:05 PM GMT+1","7","6","7","7","8","7","6","7","7","6","9","8","5","7","7","No"
"2019/08/20 9:39:31 PM GMT+1","6","6","7","5","8","7","4","7","4","7","7","7","6","5","5","No"
"2019/08/20 9:39:48 PM GMT+1","7","5","5","9","9","2","4","7","3","8","7","6","4","5","7","No"
"2019/08/20 9:42:27 PM GMT+1","8","7","8","8","9","7","6","7","5","6","8","8","6","7","8","No"
"2019/08/20 9:47:44 PM GMT+1","8","6","7","7","8","6","5","8","5","7","8","8","5","8","7","No"
"2019/08/20 9:52:47 PM GMT+1","6","7","6","7","8","6","6","7","5","7","8","7","4","7","7","No"
"2019/08/20 9:55:22 PM GMT+1","7","6","7","8","9","6","6","7","3","5","7","5","3","3","6","No"
"2019/08/20 9:58:20 PM GMT+1","8","6","6","6","7","6","6","7","4","5","7","6","5","5","8","Yes"
"2019/08/20 10:01:07 PM GMT+1","6","5","6","7","7","6","5","5","4","7","7","6","6","5","7","No"
"2019/08/20 10:02:09 PM GMT+1","6","6","7","6","9","6","5","5","4","5","6","6","4","6","5","No"
"2019/08/20 10:02:30 PM GMT+1","8","6","8","7","9","7","5","7","5","6","8","8","6","6","8","No"
"2019/08/20 10:05:38 PM GMT+1","6","7","7","6","9","7","6","6","6","7","7","7","5","7","7","No"
"2019/08/20 10:06:13 PM GMT+1","7","6","7","7","9","7","6","7","6","6","7","7","6","6","5","No"
"2019/08/20 10:06:42 PM GMT+1","8","6","7","7","8","4","5","5","6","6","7","7","7","6","7","No"
"2019/08/20 10:06:50 PM GMT+1","7","7","8","8","9","6","7","7","5","7","8","7","3","7","7","No"
"2019/08/20 10:07:37 PM GMT+1","6","7","7","7","9","6","6","7","5","6","7","6","6","5","7","No"
"2019/08/20 10:07:48 PM GMT+1","8","6","7","7","10","6","5","6","1","5","8","6","4","5","5","No"
"2019/08/20 10:08:02 PM GMT+1","10","6","6","7","5","3","5","6","5","5","7","6","2","2","7","No"
"2019/08/20 10:08:20 PM GMT+1","8","4","7","7","8","8","7","8","2","5","8","6","5","4","6","No"
"2019/08/20 10:09:25 PM GMT+1","10","6","5","7","5","2","5","6","5","5","7","6","2","2","7","No"
"2019/08/20 10:12:42 PM GMT+1","6","6","6","6","8","6","5","7","3","4","7","7","4","6","7","No"
"2019/08/20 10:12:59 PM GMT+1","8","7","8","7","8","7","6","6","6","4","7","7","5","6","8","No"
"2019/08/20 10:17:00 PM GMT+1","7","7","7","8","10","6","7","8","4","6","9","7","5","6","8","No"
"2019/08/20 10:19:22 PM GMT+1","6","6","7","6","8","6","7","7","7","7","8","8","6","6","7","No"
"2019/08/20 10:20:43 PM GMT+1","6","5","7","7","7","5","4","5","4","5","7","6","6","6","7",""
"2019/08/20 10:24:26 PM GMT+1","8","6","7","7","9","6","5","6","4","4","8","7","2","5","7","No"
"2019/08/20 10:26:29 PM GMT+1","7","7","7","7","7","6","5","7","5","6","7","6","5","6","7","No"
"2019/08/20 10:26:51 PM GMT+1","6","7","6","5","8","4","4","6","5","4","7","6","3","6","5","No"
"2019/08/20 10:29:55 PM GMT+1","7","7","7","8","9","8","7","8","4","6","9","7","4","7","4","No"
"2019/08/20 10:32:23 PM GMT+1","7","7","7","6","7","6","7","7","6","6","8","8","4","6","5","No"
"2019/08/20 10:32:39 PM GMT+1","8","6","7","6","8","6","5","6","4","5","8","6","5","7","4","No"
"2019/08/20 10:37:11 PM GMT+1","7","6","7","6","8","6","5","6","5","6","7","7","4","6","4","No"
"2019/08/20 10:40:20 PM GMT+1","7","6","8","7","9","7","6","7","4","5","8","8","7","5","8","No"
"2019/08/20 10:42:07 PM GMT+1","6","6","7","6","9","8","6","6","4","6","8","6","6","5","6","No"
"2019/08/20 10:42:49 PM GMT+1","6","7","4","8","6","3","5","7","4","5","8","6","5","3","7","No"
"2019/08/20 10:45:29 PM GMT+1","7","7","8","7","7","7","7","8","7","6","8","7","3","7","7","No"
"2019/08/20 10:46:02 PM GMT+1","9","8","8","8","10","10","8","9","6","10","10","7","5","9","9","No"
"2019/08/20 10:47:37 PM GMT+1","6","6","8","8","9","6","5","7","4","4","8","7","5","6","5","No"
"2019/08/20 10:47:42 PM GMT+1","8","8","8","8","9","7","7","8","6","6","7","7","5","7","6","No"
"2019/08/20 10:50:25 PM GMT+1","8","7","8","7","10","6","7","7","5","7","8","7","7","7","8","No"
"2019/08/20 10:50:39 PM GMT+1","7","7","8","7","8","6","6","7","6","5","7","6","6","7","5","No"
"2019/08/20 10:51:12 PM GMT+1","7","4","5","6","8","7","4","5","2","4","7","6","5","5","6","No"
"2019/08/20 10:53:16 PM GMT+1","7","6","7","7","8","6","5","7","6","6","6","6","4","9","6","Yes"
"2019/08/20 10:54:16 PM GMT+1","7","6","7","7","8","7","6","8","5","6","8","7","5","6","5","No"
