"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Fred","Andreas Pereira","Daniel James","Marcus Rashford","Anthony Martial","Mason Greenwood (optional)","Team Performance","Final Result","Rate Ole","Rate Opponent - Norwich","Did the referee/VAR do their job correctly? (optional)"
"2019/10/28 4:47:12 PM GMT+1","6","6","7","6","9","9","8","8","9","8","8","","8","8","8","5","No"
"2019/10/28 4:48:15 PM GMT+1","7","7","7","7","7","8","7","7","7","8","8","6","8","8","8","3","Yes"
"2019/10/28 4:49:12 PM GMT+1","7","6","6","7","9","8","7","7","8","7","8","","6","7","6","5","No"
"2019/10/28 4:49:47 PM GMT+1","6","6","7","7","9","9","6","6","8","8","8","5","7","6","8","3","No"
"2019/10/28 4:49:54 PM GMT+1","7","6","8","7","8","9","6","6","9","8","9","","8","9","8","5","No"
"2019/10/28 4:50:28 PM GMT+1","7","7","8","7","10","9","6","6","7","7","7","","7","8","7","5","Yes"
"2019/10/28 4:50:46 PM GMT+1","7","5","7","6","8","10","2","5","8","9","5","","8","7","8","5","No"
"2019/10/28 4:51:14 PM GMT+1","9","7","8","7","9","9","7","8","8","8","7","5","8","9","8","4","No"
"2019/10/28 4:52:07 PM GMT+1","7","6","7","7","8","7","6","6","7","8","7","6","7","8","7","5",""
"2019/10/28 4:52:20 PM GMT+1","7","6","6","7","9","10","7","7","8","9","9","6","8","8","9","3","No"
"2019/10/28 4:52:42 PM GMT+1","8","7","8","8","9","9","7","7","8","9","8","6","8","8","9","6","Yes"
"2019/10/28 4:53:17 PM GMT+1","6","5","7","7","8","8","6","8","7","8","7","","8","10","8","3","No"
"2019/10/28 4:53:32 PM GMT+1","6","5","6","7","9","8","7","7","8","9","10","6","8","10","9","4","Yes"
"2019/10/28 4:54:41 PM GMT+1","6","6","7","7","8","8","6","7","7","8","7","5","8","7","8","3","Yes"
"2019/10/28 4:55:08 PM GMT+1","7","5","7","6","9","9","8","8","8","9","9","","8","8","8","6",""
"2019/10/28 4:58:31 PM GMT+1","9","8","9","7","9","9","7","8","10","10","9","7","8","8","8","5","No"
"2019/10/28 4:59:02 PM GMT+1","6","7","7","6","8","9","6","6","9","8","9","","8","9","7","4","No"
"2019/10/28 4:59:11 PM GMT+1","8","7","9","7","10","9","7","8","10","8","9","","10","9","9","4","No"
"2019/10/28 4:59:24 PM GMT+1","7","6","7","7","9","9","7","7","8","9","9","6","7","9","9","5","No"
"2019/10/28 5:01:26 PM GMT+1","7","8","8","8","9","9","8","8","9","9","9","","8","9","8","4","No"
"2019/10/28 5:01:41 PM GMT+1","8","8","7","7","9","9","8","7","9","9","9","5","9","9","9","3","No"
"2019/10/28 5:02:08 PM GMT+1","7","6","5","6","10","6","6","7","7","7","9","7","8","10","6","2",""
"2019/10/28 5:02:19 PM GMT+1","6","5","6","6","7","8","6","6","7","7","7","5","7","7","7","4","No"
"2019/10/28 5:02:30 PM GMT+1","7","4","7","6","8","8","7","5","8","8","7","5","8","10","7","4","Yes"
"2019/10/28 5:02:50 PM GMT+1","7","6","7","7","7","8","7","7","7","9","8","","8","10","8","5","Yes"
"2019/10/28 5:04:53 PM GMT+1","6","6","6","6","8","8","7","7","8","8","8","6","8","9","8","5","Yes"
"2019/10/28 5:05:10 PM GMT+1","7","5","7","7","8","8","7","6","8","8","8","","8","7","9","3","No"
"2019/10/28 5:05:56 PM GMT+1","7","7","7","7","8","9","7","8","8","8","8","","8","8","8","4","No"
"2019/10/28 5:07:12 PM GMT+1","9","3","9","10","10","9","7","7","10","7","8","7","7","10","6","2","No"
"2019/10/28 5:07:53 PM GMT+1","6","6","7","6","8","8","7","7","7","8","8","","7","8","8","4","No"
"2019/10/28 5:08:05 PM GMT+1","9","7","7","8","9","8","7","6","10","9","9","","8","9","8","3","No"
"2019/10/28 5:09:32 PM GMT+1","6","6","7","7","8","8","7","7","8","8","8","5","7","8","7","5","No"
"2019/10/28 5:09:52 PM GMT+1","6","6","6","6","7","8","7","7","8","8","8","6","8","7","7","4","No"
"2019/10/28 5:10:44 PM GMT+1","7","6","6","6","9","8","5","6","7","8","8","6","7","8","7","6","Yes"
"2019/10/28 5:12:03 PM GMT+1","6","4","6","6","9","9","7","6","8","9","9","5","10","7","9","5","No"
"2019/10/28 5:13:11 PM GMT+1","6","7","8","7","8","8","7","7","8","8","8","","8","8","8","4","Yes"
"2019/10/28 5:13:13 PM GMT+1","7","4","6","5","6","7","7","7","8","7","7","6","7","7","7","7","Yes"
"2019/10/28 5:13:51 PM GMT+1","7","5","7","7","9","10","7","6","8","9","9","6","8","7","9","2","No"
"2019/10/28 5:14:16 PM GMT+1","8","7","8","7","9","9","7","7","9","8","8","","8","7","7","4","Yes"
"2019/10/28 5:15:02 PM GMT+1","7","5","6","7","8","9","6","6","8","9","7","6","9","7","8","4","No"
"2019/10/28 5:15:08 PM GMT+1","7","7","7","7","8","9","8","7","8","9","9","6","8","8","9","3","No"
"2019/10/28 5:15:36 PM GMT+1","7","7","8","7","10","9","6","7","9","8","9","6","8","8","8","5","No"
"2019/10/28 5:15:58 PM GMT+1","7","7","8","8","8","9","8","8","8","8","9","","9","9","10","7","Yes"
"2019/10/28 5:16:39 PM GMT+1","7","6","7","7","9","8","8","8","9","9","9","","8","8","8","3","No"
"2019/10/28 5:17:32 PM GMT+1","6","5","7","6","9","8","7","7","8","8","9","6","8","8","8","5","Yes"
"2019/10/28 5:18:32 PM GMT+1","7","6","8","7","9","8","6","6","8","9","10","","8","8","6","5","No"
"2019/10/28 5:18:50 PM GMT+1","6","6","6","6","7","8","7","7","7","8","7","6","8","8","9","4","No"
"2019/10/28 5:20:31 PM GMT+1","6","7","7","7","9","9","7","6","8","9","9","6","9","10","9","6","No"
"2019/10/28 5:22:06 PM GMT+1","6","7","8","8","9","9","7","7","8","8","8","","9","8","7","4","Yes"
"2019/10/28 5:23:09 PM GMT+1","6","6","6","6","8","9","7","8","8","9","9","2","7","7","6","2","No"
"2019/10/28 5:26:55 PM GMT+1","8","8","8","8","9","10","7","7","8","8","9","7","8","8","8","5","Yes"
"2019/10/28 5:27:00 PM GMT+1","7","7","5","6","7","7","6","7","7","7","7","5","7","6","8","3","No"
"2019/10/28 5:27:29 PM GMT+1","7","7","8","8","9","9","7","8","8","8","8","6","9","9","9","4","No"
"2019/10/28 5:27:46 PM GMT+1","8","7","7","6","8","8","7","8","8","7","7","","8","7","8","7","Yes"
"2019/10/28 5:28:38 PM GMT+1","7","7","8","7","9","8","8","8","9","9","9","7","8","10","8","7","Yes"
"2019/10/28 5:29:22 PM GMT+1","8","6","7","7","9","9","6","7","9","8","8","6","8","9","8","4","No"
"2019/10/28 5:29:40 PM GMT+1","7","6","8","7","8","7","7","7","8","8","8","5","8","7","8","3","Yes"
"2019/10/28 5:29:57 PM GMT+1","6","4","6","6","8","7","7","6","8","8","8","","7","7","8","5","No"
"2019/10/28 5:31:41 PM GMT+1","6","6","7","6","8","9","6","6","7","7","8","5","7","8","7","4","Yes"
"2019/10/28 5:33:22 PM GMT+1","7","7","7","7","9","9","9","8","9","9","9","6","9","8","8","5","No"
"2019/10/28 5:33:36 PM GMT+1","6","6","5","5","8","8","8","8","8","9","9","4","8","7","8","3","No"
"2019/10/28 5:34:15 PM GMT+1","6","6","7","7","8","7","7","8","8","8","8","","7","9","8","5","No"
"2019/10/28 5:36:42 PM GMT+1","6","7","7","7","8","8","7","7","7","8","7","","8","8","8","4","No"
"2019/10/28 5:37:05 PM GMT+1","7","7","7","7","9","9","8","8","8","9","9","7","8","9","10","5","No"
"2019/10/28 5:41:00 PM GMT+1","6","6","7","6","7","8","7","6","8","9","7","6","8","8","8","6","No"
"2019/10/28 5:42:01 PM GMT+1","7","7","7","8","10","8","8","6","10","8","9","5","9","10","9","6","No"
"2019/10/28 5:42:22 PM GMT+1","7","7","7","7","9","9","6","6","8","8","8","6","8","8","7","4","Yes"
"2019/10/28 5:43:33 PM GMT+1","6","6","6","6","8","9","7","7","6","8","7","5","8","9","8","5","Yes"
"2019/10/28 5:43:55 PM GMT+1","7","7","7","7","8","8","7","7","8","8","8","5","7","8","7","4","No"
"2019/10/28 5:45:00 PM GMT+1","8","6","8","8","9","8","7","7","9","9","9","6","8","8","9","4","No"
"2019/10/28 5:48:10 PM GMT+1","6","2","5","5","7","8","6","5","8","8","7","3","7","8","7","4",""
"2019/10/28 5:50:42 PM GMT+1","7","1","7","6","8","8","6","6","8","6","6","","6","7","6","4","Yes"
"2019/10/28 5:54:15 PM GMT+1","7","6","7","7","9","8","7","6","8","9","8","","8","10","8","3",""
"2019/10/28 5:54:34 PM GMT+1","6","7","6","7","9","7","7","6","8","8","7","5","8","9","8","2","No"
"2019/10/28 5:56:03 PM GMT+1","6","6","7","7","8","8","7","7","8","8","8","","7","8","8","4","No"
"2019/10/28 5:57:33 PM GMT+1","7","6","6","6","8","9","7","6","8","8","9","5","7","8","7","5","No"
"2019/10/28 5:58:04 PM GMT+1","8","8","9","9","10","10","9","8","9","9","8","6","8","8","8","5","No"
"2019/10/28 5:58:09 PM GMT+1","7","6","7","7","9","9","7","8","8","9","9","6","8","9","8","5","No"
"2019/10/28 6:00:09 PM GMT+1","7","7","8","7","8","9","7","7","7","7","8","6","7","8","8","3","Yes"
"2019/10/28 6:00:14 PM GMT+1","8","7","8","7","8","9","5","8","9","9","9","7","8","8","8","6","No"
"2019/10/28 6:00:22 PM GMT+1","6","3","5","6","7","7","8","6","7","8","8","5","7","7","6","3","No"
"2019/10/28 6:01:49 PM GMT+1","7","8","8","7","10","9","7","6","8","7","7","6","8","8","8","6","No"
"2019/10/28 6:02:12 PM GMT+1","7","7","7","7","9","9","6","5","9","8","9","4","8","8","8","4","Yes"
"2019/10/28 6:02:57 PM GMT+1","7","6","8","8","9","10","7","7","10","9","9","","8","8","7","6","Yes"
"2019/10/28 6:03:59 PM GMT+1","6","5","7","6","8","7","6","6","8","7","7","","8","7","7","4","No"
"2019/10/28 6:04:20 PM GMT+1","6","6","7","7","9","8","7","6","7","8","8","6","8","7","8","3","No"
"2019/10/28 6:04:31 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","","10","10","10","1","No"
"2019/10/28 6:04:50 PM GMT+1","7","7","7","7","8","8","6","7","9","9","9","7","8","9","8","8","No"
