"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Fred (optional)","Tahith Chong (optional)","Team performance","Final result","Ole Gunnar Solskjaer (only this match)","Leicester City (only this match)","Were you happy with the ref? (optional)"
"2019/09/15 7:47:37 PM GMT+1","7","7","8","7","7","8","5","7","5","6","7","7","7","7","10","9","5","Yes"
"2019/09/15 7:47:59 PM GMT+1","6","5","6","4","6","7","5","6","5","4","6","","","5","5","5","4","Yes"
"2019/09/15 7:48:18 PM GMT+1","8","7","8","7","8","9","6","7","7","6","7","7","7","6","7","8","6","Yes"
"2019/09/15 7:48:26 PM GMT+1","8","9","8","5","7","9","3","4","2","5","3","4","3","4","4","2","6","Yes"
"2019/09/15 7:48:29 PM GMT+1","7","6","7","6","6","8","5","6","5","5","7","6","5","6","7","8","6","Yes"
"2019/09/15 7:48:36 PM GMT+1","7","7","8","6","6","7","6","7","7","7","8","6","","7","6","7","6","Yes"
"2019/09/15 7:49:31 PM GMT+1","8","6","7","7","8","9","5","8","5","6","6","8","7","6","7","7","3","Yes"
"2019/09/15 7:49:35 PM GMT+1","9","9","9","7","9","10","5","7","4","6","7","7","7","8","8","7","6","Yes"
"2019/09/15 7:49:44 PM GMT+1","8","6","8","8","8","8","5","7","5","5","7","7","6","7","7","8","7",""
"2019/09/15 7:49:57 PM GMT+1","8","7","9","8","8","9","4","7","3","7","7","6","6","7","6","9","6","Yes"
"2019/09/15 7:50:22 PM GMT+1","8","8","9","8","9","9","6","8","5","7","8","8","","7","8","9","8","Yes"
"2019/09/15 7:50:35 PM GMT+1","8","7","7","6","7","8","4","6","4","7","7","7","7","8","10","8","7","Yes"
"2019/09/15 7:50:47 PM GMT+1","7","7","8","6","7","8","2","6","4","5","4","8","7","7","6","8","1","Yes"
"2019/09/15 7:51:00 PM GMT+1","8","8","9","8","8","9","7","7","7","7","8","","","8","7","8","7","Yes"
"2019/09/15 7:51:19 PM GMT+1","7","7","7","6","8","8","5","6","5","5","6","","","5","9","8","6","Yes"
"2019/09/15 7:51:21 PM GMT+1","7","7","8","7","8","8","2","7","5","7","6","8","7","8","10","9","7","Yes"
"2019/09/15 7:52:10 PM GMT+1","9","7","8","6","9","8","7","8","7","8","9","7","7","6","5","7","7","Yes"
"2019/09/15 7:52:12 PM GMT+1","7","7","8","6","7","6","1","8","1","5","5","6","5","6","4","6","6","Yes"
"2019/09/15 7:53:01 PM GMT+1","8","7","8","8","8","9","6","7","6","8","7","6","5","8","10","8","6","Yes"
"2019/09/15 7:53:09 PM GMT+1","8","7","8","7","7","8","6","8","6","6","7","7","6","7","8","7","6","Yes"
"2019/09/15 7:53:23 PM GMT+1","8","7","8","8","7","8","4","7","6","5","7","7","7","7","8","8","5",""
"2019/09/15 7:53:31 PM GMT+1","7","7","8","7","7","8","6","7","6","6","7","8","8","6","7","7","6",""
"2019/09/15 7:54:12 PM GMT+1","7","6","8","6","8","9","7","7","5","7","6","7","7","6","7","6","5","Yes"
"2019/09/15 7:54:28 PM GMT+1","8","7","9","8","8","9","7","8","5","6","8","8","6","9","9","9","8","Yes"
"2019/09/15 7:54:31 PM GMT+1","8","7","8","7","8","8","6","6","3","4","6","7","7","5","7","5","4","Yes"
"2019/09/15 7:54:39 PM GMT+1","10","7","9","8","9","10","4","7","5","7","7","6","7","7","8","9","6","Yes"
"2019/09/15 7:55:30 PM GMT+1","7","6","8","7","7","8","6","7","6","6","8","7","5","8","7","8","5","Yes"
"2019/09/15 7:55:59 PM GMT+1","9","8","9","8","10","8","4","7","3","6","7","8","6","7","7","8","5","Yes"
"2019/09/15 7:56:06 PM GMT+1","8","7","9","7","6","8","4","7","6","6","8","","","7","6","5","5",""
"2019/09/15 7:56:39 PM GMT+1","8","8","9","7","8","9","5","7","6","7","7","6","5","7","9","6","8","Yes"
"2019/09/15 7:56:44 PM GMT+1","7","7","8","6","7","8","5","7","5","7","7","6","5","5","10","10","6","Yes"
"2019/09/15 7:57:00 PM GMT+1","7","6","8","7","7","9","5","6","4","5","6","6","6","5","5","7","6","Yes"
"2019/09/15 7:57:03 PM GMT+1","7","7","9","8","8","8","6","6","6","6","6","8","7","6","7","7","6","Yes"
"2019/09/15 7:57:04 PM GMT+1","8","6","8","7","7","8","4","7","5","7","7","7","7","7","10","10","6","Yes"
"2019/09/15 7:57:24 PM GMT+1","8","7","9","7","10","9","6","7","6","7","7","7","7","7","10","7","6","No"
"2019/09/15 7:57:52 PM GMT+1","8","8","8","7","7","9","5","7","6","7","8","8","7","8","8","8","7","Yes"
"2019/09/15 7:57:52 PM GMT+1","7","9","9","7","7","8","6","7","6","7","7","8","","7","8","6","6","Yes"
"2019/09/15 7:58:29 PM GMT+1","7","8","7","8","7","9","6","7","7","8","7","","8","7","5","7","4","Yes"
"2019/09/15 7:58:46 PM GMT+1","9","8","9","8","9","10","6","6","5","6","7","7","7","7","10","8","5","Yes"
"2019/09/15 7:59:06 PM GMT+1","8","7","8","6","7","7","7","8","4","4","7","7","6","7","8","7","8","Yes"
"2019/09/15 7:59:06 PM GMT+1","8","7","9","6","8","8","3","7","5","6","7","6","6","6","4","6","8","Yes"
"2019/09/15 7:59:19 PM GMT+1","7","6","8","7","8","8","6","7","6","6","6","6","6","6","6","7","6","Yes"
"2019/09/15 7:59:50 PM GMT+1","9","8","8","6","6","10","5","7","5","6","7","7","7","9","9","8","6",""
"2019/09/15 8:00:45 PM GMT+1","8","7","8","6","7","8","6","7","6","8","7","7","7","7","8","7","7","Yes"
"2019/09/15 8:01:55 PM GMT+1","8","6","8","8","7","8","5","6","5","7","7","6","6","6","8","8","7","Yes"
"2019/09/15 8:02:05 PM GMT+1","9","6","9","8","7","8","6","6","5","6","8","5","7","7","10","5","7","Yes"
"2019/09/15 8:02:16 PM GMT+1","8","6","8","7","8","7","3","6","6","5","7","6","6","7","7","7","5","No"
"2019/09/15 8:02:37 PM GMT+1","7","6","7","7","7","8","5","6","4","6","8","7","7","6","7","7","5","Yes"
"2019/09/15 8:02:58 PM GMT+1","7","6","8","7","7","9","6","6","5","6","7","6","6","7","10","7","6","No"
"2019/09/15 8:02:59 PM GMT+1","8","8","9","7","8","10","7","7","5","8","8","7","6","6","9","6","6","Yes"
"2019/09/15 8:03:01 PM GMT+1","7","6","8","7","7","9","6","6","5","6","7","6","6","7","10","7","6","No"
"2019/09/15 8:03:14 PM GMT+1","9","8","9","8","9","10","7","6","5","6","7","9","8","8","10","8","8","Yes"
"2019/09/15 8:03:37 PM GMT+1","7","8","8","7","7","7","6","6","6","5","6","6","6","6","8","7","7","Yes"
"2019/09/15 8:04:25 PM GMT+1","8","7","7","7","7","8","6","6","7","6","6","6","","7","9","7","5","Yes"
"2019/09/15 8:04:39 PM GMT+1","6","6","8","7","7","8","6","6","6","7","6","6","7","7","10","8","5","Yes"
"2019/09/15 8:04:45 PM GMT+1","7","7","8","8","7","8","5","6","5","6","6","7","6","7","8","8","6","Yes"
"2019/09/15 8:04:59 PM GMT+1","8","6","9","7","8","8","4","6","5","5","6","6","6","6","7","9","7","Yes"
"2019/09/15 8:05:05 PM GMT+1","8","6","8","7","7","9","7","6","6","7","8","6","5","8","7","8","7","Yes"
"2019/09/15 8:05:11 PM GMT+1","7","8","8","7","7","9","5","7","5","5","6","7","7","7","8","8","4","Yes"
