"Timestamp","De Gea","Fosu Mensah","Lindelof","Maguire","Wan-Bissaka","McTominay","Pogba","Bruno","Rashford","Greenwood","Martial","Lingard","Matic","Team Performance","Final Result","Ole","Crystal Palace","Did the ref do a good job?"
"2020/07/17 9:01:19 PM GMT+2","8","7","6","6","7","5","6","6","9","6","9","8","7","6","8","7","7","No"
"2020/07/17 9:02:07 PM GMT+2","9","8","8","6","7","6","7","8","9","6","9","7","8","7","10","10","7","Yes"
"2020/07/17 9:02:57 PM GMT+2","8","6","7","7","6","6","6","7","8","6","8","6","7","7","10","8","7","Yes"
"2020/07/17 9:03:41 PM GMT+2","8","7","8","6","7","6","7","7","9","6","8","","","7","8","8","6","Yes"
"2020/07/17 9:04:23 PM GMT+2","9","6","6","7","6","6","6","7","8","6","9","7","7","6","8","8","8","Yes"
"2020/07/17 9:04:54 PM GMT+2","10","8","8","8","7","6","7","7","9","7","10","7","8","7","7","7","5","Yes"
"2020/07/17 9:05:54 PM GMT+2","9","7","9","6","7","7","9","8","10","7","9","8","8","7","10","9","7","Yes"
"2020/07/17 9:06:37 PM GMT+2","8","6","7","7","6","5","7","6","9","5","8","6","7","7","8","7","4","Yes"
"2020/07/17 9:06:44 PM GMT+2","8","7","7","6","6","6","6","7","9","6","9","7","7","8","8","8","7","Yes"
"2020/07/17 9:07:03 PM GMT+2","10","7","9","6","8","8","7","8","10","6","10","6","8","8","9","8","7","Yes"
"2020/07/17 9:08:47 PM GMT+2","9","6","7","7","6","5","7","7","9","6","9","6","7","7","8","8","7","No"
"2020/07/17 9:09:06 PM GMT+2","8","7","10","8","8","7","7","8","10","7","10","7","8","9","10","10","8","Yes"
"2020/07/17 9:09:23 PM GMT+2","9","6","8","6","7","5","5","6","9","5","7","5","6","7","10","10","9","Yes"
"2020/07/17 9:09:38 PM GMT+2","10","6","8","7","6","6","6","6","9","6","8","7","8","7","10","8","5","No"
"2020/07/17 9:10:46 PM GMT+2","9","8","9","7","7","6","6","7","9","7","10","7","9","7","10","7","8","No"
"2020/07/17 9:11:05 PM GMT+2","8","6","7","6","6","6","6","6","8","6","8","7","6","6","10","6","7","No"
"2020/07/17 9:16:31 PM GMT+2","8","7","7","6","7","6","7","7","9","7","9","7","6","7","8","7","7","Yes"
"2020/07/17 9:17:24 PM GMT+2","9","7","8","8","6","7","7","7","9","6","9","7","7","6","10","8","5","No"
"2020/07/17 9:17:35 PM GMT+2","8","7","8","7","7","6","7","8","9","6","9","7","8","6","8","8","7","Yes"
"2020/07/17 9:17:47 PM GMT+2","8","7","7","6","5","5","6","7","8","5","7","6","6","7","9","7","7","No"
"2020/07/17 9:20:01 PM GMT+2","9","7","10","8","7","7","7","7","9","7","9","7","8","7","8","7","5","Yes"
"2020/07/17 9:20:08 PM GMT+2","8","6","6","6","5","5","5","5","8","5","7","6","6","5","5","5","5","Yes"
"2020/07/17 9:20:35 PM GMT+2","8","5","8","6","1","3","6","4","9","3","9","1","5","5","6","5","7","No"
"2020/07/17 9:22:51 PM GMT+2","8","7","8","7","6","6","7","8","9","5","8","7","6","6","7","9","7","Yes"
"2020/07/17 9:23:36 PM GMT+2","8","7","7","7","7","6","7","7","9","6","8","6","7","7","9","9","5","Yes"
"2020/07/17 9:23:51 PM GMT+2","9","6","8","7","6","6","7","7","9","6","8","5","6","8","9","7","7","Yes"
"2020/07/17 9:24:34 PM GMT+2","8","6","8","8","7","6","8","7","8","6","9","5","7","7","9","9","5","Yes"
"2020/07/17 9:25:30 PM GMT+2","9","7","8","6","6","6","7","7","9","6","9","6","","7","9","9","7","Yes"
"2020/07/17 9:25:30 PM GMT+2","9","6","7","8","6","5","6","6","9","6","8","6","7","6","8","8","4","Yes"
"2020/07/17 9:26:22 PM GMT+2","9","6","7","6","6","6","6","7","8","5","9","6","7","5","10","7","7","No"
"2020/07/17 9:26:23 PM GMT+2","9","7","6","6","5","6","7","7","9","6","8","6","6","7","10","7","7","No"
"2020/07/17 9:26:59 PM GMT+2","8","6","8","6","6","5","7","7","9","6","8","5","6","7","10","7","5","Yes"
"2020/07/17 9:28:16 PM GMT+2","8","6","7","7","6","6","7","8","8","6","8","6","7","6","8","7","6","No"
"2020/07/17 9:28:49 PM GMT+2","8","7","7","7","7","7","7","8","9","6","8","6","6","7","7","8","6","No"
"2020/07/17 9:29:35 PM GMT+2","8","7","6","6","6","4","5","3","9","4","7","7","8","3","7","6","7","No"
"2020/07/17 9:29:58 PM GMT+2","8","7","8","7","7","5","6","5","8","4","8","4","7","6","8","7","8","Yes"
"2020/07/17 9:30:19 PM GMT+2","9","7","8","7","9","7","8","8","9","6","8","6","6","8","8","8","8","Yes"
"2020/07/17 9:31:54 PM GMT+2","9","7","8","6","6","6","7","7","10","6","9","","8","7","9","9","7","Yes"
"2020/07/17 9:32:03 PM GMT+2","7","6","5","6","6","5","6","6","8","6","8","6","6","7","9","6","7",""
"2020/07/17 9:32:17 PM GMT+2","8","6","6","6","4","5","6","7","8","6","8","6","7","6","8","7","6","No"
"2020/07/17 9:33:27 PM GMT+2","8","6","8","7","6","6","6","7","9","6","7","4","6","6","7","8","6","No"
"2020/07/17 9:34:08 PM GMT+2","9","7","7","8","5","5","6","5","9","6","9","6","8","6","10","9","7","Yes"
"2020/07/17 9:35:41 PM GMT+2","10","8","9","9","8","6","7","8","10","5","10","8","10","7","8","9","6","Yes"
"2020/07/17 9:37:14 PM GMT+2","8","6","6","6","5","5","6","6","9","6","9","6","7","6","10","6","7","No"
