"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Jesse Lingard","Marcus Rashford","Anthony Martial","Daniel James (optional)","From 1 to 10 how much are you pleased with the result?","From 1 to 10 how much are you pleased with the performance?"
"2019/08/13 6:12:15 PM GMT+1","10","8","10","9","10","9","9","7","9","10","10","9","10","8"
"2019/08/13 6:13:56 PM GMT+1","9","7","9","9","9","8","7","6","7","8","9","8","10","10"
"2019/08/13 6:15:24 PM GMT+1","8","7","10","9","9","8","8","5","4","10","9","8","10","7"
"2019/08/13 6:17:44 PM GMT+1","9","7","10","9","9","8","9","7","6","9","8","8","10","9"
"2019/08/13 6:18:29 PM GMT+1","10","7","9","7","8","7","8","7","7","8","7","10","10","6"
"2019/08/13 6:18:54 PM GMT+1","8","7","8","8","8","7","8","7","7","8","7","7","10","8"
"2019/08/13 6:19:22 PM GMT+1","7","5","8","8","9","7","6","6","5","7","7","5","10","7"
"2019/08/13 6:21:12 PM GMT+1","8","5","9","8","8","7","9","6","7","7","8","10","9","7"
"2019/08/13 6:22:21 PM GMT+1","9","8","9","9","10","8","9","6","7","9","8","8","10","8"
"2019/08/13 6:22:47 PM GMT+1","8","7","9","8","8","7","8","6","7","8","7","9","10","8"
"2019/08/13 6:23:30 PM GMT+1","9","7","9","9","9","7","8","9","8","9","8","10","10","8"
"2019/08/13 6:24:35 PM GMT+1","10","7","10","9","10","7","7","7","6","7","8","7","10","7"
"2019/08/13 6:26:57 PM GMT+1","8","6","7","7","7","6","8","5","5","7","6","7","10","8"
