"Timestamp","David De Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Nemanja Matic","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard(optional)","Fred(optional)","Rate our performance","Rate final result","Rate Ole (only this match)","Rate West Ham (only this match)","Were you happy with the referee? (optional)"
"2019/09/23 2:21:27 PM GMT+1","6","5","3","4","6","5","3","4","3","5","4","2","5","4","2","3","8","Yes"
"2019/09/23 2:22:29 PM GMT+1","6","5","3","2","6","4","2","3","2","6","3","4","4","3","5","2","5","Yes"
"2019/09/23 2:22:49 PM GMT+1","8","7","6","6","7","7","5","6","4","8","5","7","6","4","5","5","6","Yes"
"2019/09/23 2:22:58 PM GMT+1","7","5","6","6","7","6","6","6","4","6","4","","","4","1","3","5","Yes"
"2019/09/23 2:24:03 PM GMT+1","5","4","4","4","7","3","2","2","3","4","3","2","6","4","1","3","5","Yes"
"2019/09/23 2:24:35 PM GMT+1","4","2","5","4","8","4","3","5","5","7","4","3","6","4","1","4","10","Yes"
"2019/09/23 2:24:36 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","8",""
"2019/09/23 2:25:35 PM GMT+1","7","4","6","6","7","6","3","4","4","6","5","","","4","2","5","6",""
"2019/09/23 2:26:29 PM GMT+1","6","5","5","5","6","7","6","5","4","7","5","3","","4","3","5","5","Yes"
"2019/09/23 2:26:36 PM GMT+1","6","5","4","4","5","5","3","4","3","6","2","3","4","1","1","2","4","Yes"
"2019/09/23 2:27:56 PM GMT+1","6","6","6","6","6","5","6","6","4","7","6","","","4","5","5","7","Yes"
"2019/09/23 2:28:26 PM GMT+1","6","4","5","5","9","6","4","4","3","6","4","5","6","3","3","4","4","Yes"
"2019/09/23 2:28:51 PM GMT+1","5","4","4","4","6","5","3","2","2","3","3","4","3","1","1","5","5","Yes"
"2019/09/23 2:29:00 PM GMT+1","6","4","4","6","6","6","4","5","5","6","6","6","6","3","1","3","6","Yes"
"2019/09/23 2:29:02 PM GMT+1","5","5","4","5","4","7","6","5","3","5","4","7","5","4","3","4","5","Yes"
"2019/09/23 2:30:24 PM GMT+1","5","5","5","5","8","5","1","3","1","6","1","3","5","3","3","5","7","No"
"2019/09/23 2:30:42 PM GMT+1","6","7","7","6","8","7","5","4","6","8","5","5","6","5","4","4","7","Yes"
"2019/09/23 2:31:01 PM GMT+1","4","1","5","5","6","1","1","1","1","7","1","","","1","1","1","4","Yes"
"2019/09/23 2:31:46 PM GMT+1","3","3","5","4","6","5","6","5","3","5","4","5","3","3","1","3","6",""
"2019/09/23 2:33:03 PM GMT+1","5","5","4","4","5","3","4","4","2","4","4","4","5","2","1","4","6","Yes"
"2019/09/23 2:34:22 PM GMT+1","5","5","4","5","7","6","5","5","5","6","3","4","5","1","1","3","6","Yes"
"2019/09/23 2:34:24 PM GMT+1","1","9","1","1","1","1","9","9","9","1","10","10","1","10","10","10","1","Yes"
"2019/09/23 2:34:53 PM GMT+1","5","6","6","6","7","7","6","5","5","7","5","5","7","5","3","4","7","No"
"2019/09/23 2:35:48 PM GMT+1","6","5","4","4","5","5","2","2","3","4","3","4","4","3","1","3","5","Yes"
"2019/09/23 2:36:41 PM GMT+1","7","6","6","7","8","6","5","5","5","7","6","5","8","6","8","3","6","Yes"
"2019/09/23 2:36:48 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","Yes"
"2019/09/23 2:36:52 PM GMT+1","6","4","7","6","7","6","5","4","3","6","4","4","6","4","1","5","8","Yes"
"2019/09/23 2:37:02 PM GMT+1","7","4","7","6","9","8","3","3","3","6","3","5","5","3","4","5","7","Yes"
"2019/09/23 2:37:45 PM GMT+1","6","6","4","4","8","6","4","3","4","5","2","3","4","3","1","4","7","Yes"
"2019/09/23 2:38:26 PM GMT+1","6","6","6","5","8","5","4","5","3","6","3","5","5","2","1","5","6","No"
"2019/09/23 2:39:44 PM GMT+1","5","4","4","3","4","5","4","5","5","5","3","4","4","3","2","3","7","Yes"
"2019/09/23 2:40:38 PM GMT+1","5","4","5","5","7","2","1","1","2","3","1","3","5","3","2","2","8","Yes"
"2019/09/23 2:40:39 PM GMT+1","6","7","7","6","6","6","3","4","4","6","4","6","6","4","4","3","8","Yes"
"2019/09/23 2:41:30 PM GMT+1","5","5","5","5","6","5","3","5","1","5","4","4","6","2","5","1","5","Yes"
"2019/09/23 2:42:29 PM GMT+1","6","6","5","5","8","5","5","5","5","5","4","4","5","3","1","4","6","Yes"
"2019/09/23 2:42:34 PM GMT+1","5","5","4","5","4","5","4","3","2","5","4","","","1","1","3","4",""
"2019/09/23 2:42:58 PM GMT+1","6","5","5","5","6","5","4","4","4","6","5","5","5","5","7","5","5","Yes"
"2019/09/23 2:43:14 PM GMT+1","6","6","5","4","4","5","4","4","4","5","3","3","3","3","5","4","5","Yes"
"2019/09/23 2:43:32 PM GMT+1","4","3","6","4","7","4","3","3","3","6","4","4","4","2","1","2","7","Yes"
"2019/09/23 2:43:36 PM GMT+1","6","4","3","3","6","5","5","3","2","5","3","5","6","1","1","2","7",""
"2019/09/23 2:43:42 PM GMT+1","4","3","6","4","7","4","3","3","3","6","4","4","4","2","1","2","7","Yes"
"2019/09/23 2:43:47 PM GMT+1","1","6","6","6","7","6","1","4","2","5","3","4","3","1","1","1","5","Yes"
"2019/09/23 2:44:16 PM GMT+1","6","6","4","2","8","5","4","1","1","5","3","5","7","1","1","1","4","Yes"
"2019/09/23 2:44:34 PM GMT+1","5","3","4","5","5","3","3","2","2","4","2","1","5","3","1","3","6","Yes"
"2019/09/23 2:44:53 PM GMT+1","6","4","5","5","8","4","4","5","3","6","4","3","6","3","3","2","7","Yes"
"2019/09/23 2:45:07 PM GMT+1","7","7","8","6","8","8","6","6","6","7","6","5","5","5","1","8","8","Yes"
"2019/09/23 2:47:16 PM GMT+1","6","5","6","6","8","6","4","4","3","7","5","","7","3","8","2","7","Yes"
"2019/09/23 2:47:28 PM GMT+1","6","7","7","6","6","6","5","4","4","6","4","5","6","3","1","4","6","Yes"
"2019/09/23 2:47:33 PM GMT+1","5","5","5","4","4","3","1","1","2","3","1","2","4","2","2","5","4","Yes"
"2019/09/23 2:48:12 PM GMT+1","6","6","7","7","9","8","3","2","1","5","2","1","","2","1","1","5",""
"2019/09/23 2:48:34 PM GMT+1","5","6","5","3","7","5","3","4","1","5","1","","","1","1","2","5","No"
"2019/09/23 2:48:46 PM GMT+1","5","6","6","4","7","7","1","1","1","6","4","1","1","1","1","1","7","Yes"
"2019/09/23 2:49:46 PM GMT+1","5","6","5","4","5","4","3","5","4","5","4","5","5","2","1","3","8",""
"2019/09/23 2:50:25 PM GMT+1","5","4","4","3","5","4","2","1","1","2","1","1","3","5","1","3","4","Yes"
"2019/09/23 2:50:34 PM GMT+1","7","2","6","6","6","7","3","1","1","6","1","1","7","2","1","1","7","Yes"
"2019/09/23 2:51:59 PM GMT+1","6","6","5","6","7","7","6","5","6","6","5","5","5","4","1","5","7","Yes"
"2019/09/23 2:54:01 PM GMT+1","6","6","6","5","6","3","2","3","1","5","1","1","5","3","1","3","5","Yes"
