"Timestamp","De Gea","Shaw","Maguire","Lindelof","AWB","Williams","Fred","Matic","Pereira","Martial","James","Mata (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Liverpool (be realistic please)","Did the ref/VAR do a good job? (optional)"
"2020/01/21 5:47:20 PM GMT+1","8","7","6","7","6","6","8","7","6","6","6","6","6","6","5","7","7","No"
"2020/01/21 5:47:27 PM GMT+1","6","5","5","5","5","5","6","7","4","3","4","","","6","3","7","8","No"
"2020/01/21 5:47:43 PM GMT+1","8","8","6","6","7","7","9","8","6","7","6","7","6","6","5","8","8","Yes"
"2020/01/21 5:48:39 PM GMT+1","7","7","7","7","7","7","8","5","4","4","5","","","6","4","8","7","No"
"2020/01/21 5:49:24 PM GMT+1","6","7","7","7","4","5","8","7","5","5","4","4","4","6","5","6","6","Yes"
"2020/01/21 5:49:33 PM GMT+1","7","6","3","4","6","4","8","5","3","3","5","6","4","2","1","4","8","No"
"2020/01/21 5:49:40 PM GMT+1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","10","1","10","Yes"
"2020/01/21 5:50:17 PM GMT+1","8","7","6","6","5","5","8","7","5","6","5","7","5","6","6","8","9","Yes"
"2020/01/21 5:51:47 PM GMT+1","8","6","6","6","8","8","8","7","6","5","5","5","5","7","3","5","7","Yes"
"2020/01/21 5:52:06 PM GMT+1","6","5","6","6","7","7","8","6","4","4","7","","","6","2","3","8","No"
"2020/01/21 5:54:38 PM GMT+1","6","6","6","6","7","6","7","6","6","6","5","6","5","6","4","4","7","No"
"2020/01/21 5:55:08 PM GMT+1","8","7","5","5","5","6","7","6","3","5","4","","","3","2","4","8","No"
"2020/01/21 5:55:26 PM GMT+1","7","7","6","6","5","7","9","7","5","4","4","","","7","5","5","8","Yes"
"2020/01/21 5:55:34 PM GMT+1","7","5","6","6","6","6","7","6","3","5","5","","","5","2","3","6","No"
"2020/01/21 5:55:34 PM GMT+1","7","7","5","6","6","5","8","6","3","4","5","4","4","3","3","7","7","Yes"
"2020/01/21 5:55:39 PM GMT+1","6","8","6","5","6","5","8","6","5","5","4","5","5","4","3","4","8","Yes"
"2020/01/21 5:55:49 PM GMT+1","7","7","7","7","7","7","9","7","5","6","7","7","5","7","7","9","9","No"
"2020/01/21 5:55:52 PM GMT+1","6","6","4","4","2","5","7","5","3","6","4","6","5","6","3","5","9","No"
"2020/01/21 5:56:04 PM GMT+1","6","6","6","6","6","7","8","6","2","4","3","7","","5","3","4","8",""
"2020/01/21 5:56:21 PM GMT+1","6","8","6","5","5","6","9","7","4","4","5","5","4","6","1","6","10","Yes"
"2020/01/21 5:56:50 PM GMT+1","8","7","7","7","7","7","8","7","5","5","5","","","8","7","7","7","No"
"2020/01/21 5:57:46 PM GMT+1","7","6","6","6","7","6","8","6","6","6","5","6","5","5","3","6","7","No"
"2020/01/21 5:57:52 PM GMT+1","7","7","6","6","6","6","7","6","4","4","3","4","","7","6","7","7","No"
"2020/01/21 5:58:12 PM GMT+1","5","4","5","2","3","4","5","3","3","4","3","4","2","4","3","5","8","No"
"2020/01/21 5:59:11 PM GMT+1","8","8","5","6","6","6","10","7","1","6","5","","","5","1","1","10","Yes"
"2020/01/21 6:00:42 PM GMT+1","9","7","7","7","7","7","9","8","6","7","6","6","6","8","5","8","8","Yes"
"2020/01/21 6:01:10 PM GMT+1","9","5","5","4","6","6","9","7","5","6","5","6","","6","4","8","8","No"
"2020/01/21 6:01:21 PM GMT+1","8","7","7","6","5","8","9","6","3","5","6","7","5","5","3","8","6","No"
"2020/01/21 6:01:56 PM GMT+1","10","7","4","6","6","7","10","8","7","8","7","8","6","6","6","10","9","No"
"2020/01/21 6:02:24 PM GMT+1","8","7","7","7","7","7","8","7","7","7","7","","","8","6","8","9","No"
"2020/01/21 6:03:20 PM GMT+1","8","6","5","5","6","6","7","6","4","4","5","","","6","4","6","9","Yes"
"2020/01/21 6:04:20 PM GMT+1","8","7","6","6","5","7","10","9","7","5","6","7","7","7","6","7","8","No"
"2020/01/21 6:05:39 PM GMT+1","6","6","6","5","8","8","9","6","6","5","5","6","4","6","3","6","6","No"
"2020/01/21 6:05:43 PM GMT+1","7","5","5","6","6","6","7","6","5","4","5","5","4","5","5","4","7","No"
"2020/01/21 6:06:14 PM GMT+1","7","6","6","6","7","6","8","6","3","5","4","6","6","5","3","5","8","No"
"2020/01/21 6:06:44 PM GMT+1","5","7","5","5","7","7","8","6","4","4","7","","","6","5","6","8","No"
"2020/01/21 6:11:20 PM GMT+1","7","7","7","7","7","6","7","6","3","6","5","5","6","6","1","6","8","Yes"
"2020/01/21 6:11:41 PM GMT+1","8","6","6","6","7","7","9","5","4","5","4","6","","3","3","4","8","Yes"
"2020/01/21 6:13:58 PM GMT+1","9","8","7","7","4","8","9","7","6","6","6","","","6","4","10","7","Yes"
"2020/01/21 6:14:10 PM GMT+1","7","6","3","4","4","4","7","5","3","7","5","5","5","2","1","5","9","No"
"2020/01/21 6:14:53 PM GMT+1","8","7","7","6","7","6","8","7","5","6","5","6","5","7","2","8","7","No"
"2020/01/21 6:15:12 PM GMT+1","7","6","5","5","6","7","9","6","4","4","5","6","6","5","5","5","8","No"
"2020/01/21 6:16:21 PM GMT+1","4","7","5","6","5","4","8","7","5","6","6","5","","5","1","3","8","No"
"2020/01/21 6:16:30 PM GMT+1","7","6","5","5","5","7","7","6","2","4","3","","","6","3","6","1","No"
"2020/01/21 6:16:42 PM GMT+1","7","6","6","4","5","5","8","6","4","6","4","6","5","4","5","4","7","Yes"
"2020/01/21 6:16:47 PM GMT+1","6","7","5","4","5","6","8","6","5","5","5","7","6","5","3","4","7","No"
"2020/01/21 6:17:10 PM GMT+1","5","6","6","6","6","5","7","5","4","6","5","6","5","7","5","7","7","No"
"2020/01/21 6:17:12 PM GMT+1","5","7","4","4","2","3","8","4","2","3","2","7","6","4","1","4","7","No"
"2020/01/21 6:17:47 PM GMT+1","6","7","5","6","4","5","8","7","6","6","5","6","5","6","5","4","7","No"
"2020/01/21 6:18:28 PM GMT+1","8","7","7","7","8","6","9","6","5","5","5","","","8","7","9","9","Yes"
"2020/01/21 6:20:30 PM GMT+1","8","6","6","6","5","7","9","8","4","4","7","","","7","5","6","7","No"
"2020/01/21 6:21:02 PM GMT+1","7","4","2","4","3","4","3","2","1","6","4","4","5","3","2","2","9","Yes"
"2020/01/21 6:21:33 PM GMT+1","9","8","7","6","7","8","10","6","6","7","7","7","6","7","5","4","10","Yes"
"2020/01/21 6:22:32 PM GMT+1","9","8","8","7","7","8","9","7","5","6","4","","","7","6","5","8","No"
"2020/01/21 6:22:53 PM GMT+1","5","6","3","4","4","6","8","6","2","4","3","5","4","6","2","7","7","Yes"
"2020/01/21 6:23:01 PM GMT+1","6","6","5","6","6","6","7","6","5","5","5","","","6","5","6","7","Yes"
"2020/01/21 6:23:46 PM GMT+1","7","7","6","6","6","7","8","6","2","5","6","5","5","5","5","5","6","No"
"2020/01/21 6:23:54 PM GMT+1","3","6","6","4","3","4","8","2","1","3","3","","","3","1","1","5","No"
"2020/01/21 6:25:35 PM GMT+1","8","7","7","7","7","6","8","7","5","6","6","","","6","4","5","6","No"
"2020/01/21 6:25:57 PM GMT+1","1","10","1","1","1","1","1","1","10","1","1","1","1","1","10","10","1","Yes"
"2020/01/21 6:26:17 PM GMT+1","8","6","5","5","6","7","6","6","2","6","5","","","5","6","8","9",""
"2020/01/21 6:30:31 PM GMT+1","9","7","7","7","8","9","9","7","7","7","6","7","","7","6","6","8","No"
"2020/01/21 6:31:15 PM GMT+1","7","5","6","6","6","6","7","6","4","5","5","6","6","5","5","5","8",""
"2020/01/21 6:33:20 PM GMT+1","8","7","7","6","5","7","8","5","5","6","5","","","5","1","6","6","No"
"2020/01/21 6:34:01 PM GMT+1","7","7","6","6","3","5","8","6","3","6","3","6","6","5","5","5","7","No"
"2020/01/21 6:35:02 PM GMT+1","7","6","5","5","5","6","8","6","5","5","5","","","5","1","6","7","No"
"2020/01/21 6:36:10 PM GMT+1","9","8","7","8","7","7","8","7","6","7","7","6","6","8","6","9","9","Yes"
"2020/01/21 6:37:30 PM GMT+1","7","7","7","6","6","7","9","8","6","6","6","6","5","7","3","6","6","No"
"2020/01/21 6:38:00 PM GMT+1","6","7","6","7","7","7","8","7","5","5","6","6","6","6","3","8","7","No"
"2020/01/21 6:38:31 PM GMT+1","3","4","4","4","4","4","7","5","5","5","5","","","3","1","2","7","No"
"2020/01/21 6:39:10 PM GMT+1","7","7","7","5","6","5","8","6","5","6","5","","","5","4","6","7","No"
"2020/01/21 6:41:13 PM GMT+1","6","7","6","4","3","8","8","7","5","5","5","","","6","5","7","7","No"
"2020/01/21 6:42:29 PM GMT+1","8","6","4","5","7","6","7","6","6","6","5","6","4","6","5","6","8","No"
"2020/01/21 6:44:27 PM GMT+1","7","8","5","3","5","5","8","6","2","5","4","","","5","3","5","8","No"
"2020/01/21 6:45:37 PM GMT+1","7","7","6","4","4","7","8","7","3","6","5","6","5","6","1","6","7","No"
"2020/01/21 6:46:47 PM GMT+1","8","7","5","5","4","6","8","5","3","5","3","","","4","1","2","8","Yes"
"2020/01/21 6:47:23 PM GMT+1","8","7","4","4","4","4","7","5","3","5","3","6","6","2","1","1","6","Yes"
"2020/01/21 6:47:25 PM GMT+1","4","6","5","4","4","4","7","6","4","4","3","5","4","5","3","4","7","Yes"
"2020/01/21 6:47:36 PM GMT+1","7","6","7","5","5","7","8","6","3","4","4","5","5","6","5","8","6","No"
"2020/01/21 6:47:41 PM GMT+1","7","8","7","6","5","6","8","7","5","5","5","","","7","3","8","8","No"
"2020/01/21 6:51:02 PM GMT+1","7","6","5","4","4","6","8","6","2","4","3","5","5","4","3","8","7","No"
"2020/01/21 6:51:22 PM GMT+1","8","6","5","5","6","6","9","5","2","4","3","3","4","5","7","1","7","No"
"2020/01/21 6:51:23 PM GMT+1","9","6","5","4","4","5","7","7","4","4","2","5","5","2","1","2","8","Yes"
"2020/01/21 6:53:08 PM GMT+1","9","6","6","6","5","6","8","6","5","7","5","6","6","6","4","6","7","No"
"2020/01/21 6:55:11 PM GMT+1","4","4","3","2","5","3","6","4","2","3","4","","","3","1","5","8","No"
"2020/01/21 6:57:20 PM GMT+1","8","7","7","7","4","7","8","7","6","6","4","5","5","7","1","7","8","No"
