"Timestamp","de Gea","Shaw","Maguire","Lindelof","AWB","Matic","Pogba","Bruno","Martial","Rashford","Greenwood","Williams","McTominay","Fred","Team Performance","Final Result","Ole","Aston Villa","Did the ref do a good job?","Did you get to the survey because you saw the post or because of notifications?"
"2020/07/13 1:26:16 PM GMT+2","7","7","7","7","7","7","8","8","8","7","9","6","6","6","7","9","9","5","No","Saw the post"
"2020/07/13 1:26:18 PM GMT+2","8","7","7","7","7","7","7","8","7","7","8","6","6","6","7","10","8","5","No","Saw the post"
"2020/07/13 1:26:24 PM GMT+2","6","7","6","7","7","7","9","9","7","8","9","5","5","5","9","9","9","7","Yes","Saw the post"
"2020/07/13 1:26:51 PM GMT+2","8","8","8","8","9","10","10","10","10","9","10","7","7","7","9","10","10","5","No","Saw the post"
"2020/07/13 1:27:39 PM GMT+2","7","7","7","7","7","7","8","7","9","8","9","7","7","7","9","9","9","5","No","Saw the post"
"2020/07/13 1:28:04 PM GMT+2","7","8","8","7","7","8","10","8","9","8","9","7","6","7","9","10","8","7","No","Saw the post"
"2020/07/13 1:28:35 PM GMT+2","7","7","6","7","7","7","9","9","7","7","8","6","7","6","8","9","8","5","No",""
"2020/07/13 1:29:16 PM GMT+2","7","8","7","8","7","7","8","6","7","7","8","6","6","6","9","9","9","3","No","Saw the post"
"2020/07/13 1:29:41 PM GMT+2","7","8","7","7","8","6","8","9","8","8","9","","","","8","8","8","3","No","Saw the post"
"2020/07/13 1:30:07 PM GMT+2","6","8","6","6","7","7","8","7","8","6","9","6","6","6","8","9","8","5","Yes","Saw the post"
"2020/07/13 1:30:22 PM GMT+2","8","7","6","6","6","8","8","7","8","7","9","6","6","6","8","10","10","1","No","Saw the post"
"2020/07/13 1:30:31 PM GMT+2","7","9","9","9","7","7","9","9","10","9","9","7","7","7","8","10","9","5","Yes","Saw the post"
"2020/07/13 1:30:49 PM GMT+2","6","8","6","7","6","7","9","8","8","7","8","6","6","6","8","10","10","6","Yes","Saw the post"
"2020/07/13 1:32:15 PM GMT+2","5","8","6","6","5","6","8","8","8","6","9","5","5","5","8","9","8","2","Yes","Saw the post"
"2020/07/13 1:32:30 PM GMT+2","6","7","7","7","7","7","9","8","9","7","9","7","7","7","10","10","10","4","No","Saw the post"
"2020/07/13 1:32:40 PM GMT+2","6","1","6","7","5","6","8","8","7","7","10","6","6","6","7","10","9","4","Yes","Saw the post"
"2020/07/13 1:32:43 PM GMT+2","8","9","7","7","8","7","8","9","9","8","9","7","7","7","9","9","9","6","No","Saw the post"
"2020/07/13 1:32:56 PM GMT+2","5","6","5","5","6","5","7","7","7","7","8","6","5","5","7","7","6","3","Yes","Saw the post"
"2020/07/13 1:33:17 PM GMT+2","6","8","7","7","5","6","9","8","8","7","8","6","5","5","8","9","9","3","No","Saw the post"
"2020/07/13 1:33:22 PM GMT+2","8","9","7","7","7","8","9","9","10","8","9","7","7","8","9","9","9","6","No","Saw the post"
"2020/07/13 1:33:27 PM GMT+2","6","8","6","8","7","7","8","8","9","7","8","7","","","7","9","9","6","No","Saw the post"
"2020/07/13 1:34:50 PM GMT+2","6","8","7","7","7","7","9","7","8","7","8","6","6","6","7","9","9","5","Yes","Saw the post"
"2020/07/13 1:35:10 PM GMT+2","7","8","8","7","8","8","9","9","7","7","9","","","","9","9","9","6","No","Saw the post"
"2020/07/13 1:35:21 PM GMT+2","6","8","6","7","6","7","8","7","7","7","9","","","","6","10","8","5","No","Saw the post"
"2020/07/13 1:35:25 PM GMT+2","7","8","8","8","8","8","9","9","9","7","9","7","7","7","9","10","10","5","No","Saw the post"
"2020/07/13 1:36:59 PM GMT+2","7","7","6","8","5","6","9","9","8","7","9","5","5","4","7","10","8","6","No","Saw the post"
"2020/07/13 1:37:08 PM GMT+2","7","8","7","7","8","8","9","7","7","7","9","7","7","7","9","9","8","7","No","Saw the post"
"2020/07/13 1:37:44 PM GMT+2","7","8","6","6","6","7","8","8","6","6","8","6","6","6","7","8","8","5","No","Saw the post"
"2020/07/13 1:38:22 PM GMT+2","7","8","7","8","7","8","8","9","8","7","9","6","6","7","9","10","9","3","No","Saw the post"
"2020/07/13 1:38:59 PM GMT+2","8","9","8","8","10","10","10","10","8","8","10","8","7","7","9","10","10","6","No","Saw the post"
"2020/07/13 1:39:07 PM GMT+2","6","7","6","6","6","6","8","7","8","7","9","6","6","6","8","9","9","6","No","Saw the post"
"2020/07/13 1:39:34 PM GMT+2","6","8","7","8","8","9","9","8","8","7","9","7","7","7","9","9","9","4","Yes","Saw the post"
"2020/07/13 1:40:08 PM GMT+2","7","7","7","7","6","7","8","8","8","8","8","7","7","8","8","9","8","5","Yes","Saw the post"
"2020/07/13 1:40:35 PM GMT+2","6","8","7","7","5","6","9","7","8","7","9","6","6","6","9","9","9","4","No","Saw the post"
"2020/07/13 1:41:27 PM GMT+2","6","7","6","6","6","7","9","9","9","8","9","6","6","6","10","10","10","5","Yes","Saw the post"
"2020/07/13 1:42:00 PM GMT+2","6","6","6","7","6","6","8","7","8","6","8","7","6","6","7","9","8","5","No","Saw the post"
"2020/07/13 1:42:24 PM GMT+2","8","9","8","8","8","9","10","10","8","9","10","7","7","8","10","7","9","5","No","Saw the post"
"2020/07/13 1:42:32 PM GMT+2","6","7","6","5","6","8","9","9","7","5","9","6","6","6","8","9","10","6","No","Saw the post"
"2020/07/13 1:43:30 PM GMT+2","7","8","7","9","7","7","9","7","9","8","9","7","6","7","9","9","10","6","No","Saw the post"
"2020/07/13 1:43:36 PM GMT+2","7","8","7","6","7","7","9","8","7","8","9","7","7","7","8","10","9","6","Yes","Saw the post"
"2020/07/13 1:45:15 PM GMT+2","7","7","7","7","7","8","8","7","7","6","9","6","6","6","7","9","8","4","No","Saw the post"
