"Timestamp","De Gea","Maguire","Lindelof","Shaw","Williams","Wan-Bissaka","Matic","Fred","Bruno","Martial","James","Bailly (optional)","McTominay (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Man City","Did the ref do a good job?"
"2020/03/10 12:04:49 AM GMT+2","8","8","8","9","7","9","8","9","9","8","7","8","8","8","9","10","9","3","No"
"2020/03/10 12:04:52 AM GMT+2","9","10","10","10","8","10","9","9","10","10","9","8","10","9","10","10","10","2","No"
"2020/03/10 12:05:31 AM GMT+2","9","9","8","8","7","10","7","9","10","9","5","6","8","7","8","10","9","3","No"
"2020/03/10 12:05:43 AM GMT+2","8","7","8","7","7","10","7","9","10","10","8","8","9","9","9","9","10","6","Yes"
"2020/03/10 12:06:04 AM GMT+2","8","9","8","9","8","10","9","10","8","9","8","8","9","9","10","10","10","3","No"
"2020/03/10 12:06:18 AM GMT+2","8","7","7","8","8","9","7","8","8","9","7","7","7","6","8","9","9","6","No"
"2020/03/10 12:06:25 AM GMT+2","10","8","8","8","8","10","8","10","10","10","10","9","10","10","10","10","10","6","No"
"2020/03/10 12:06:35 AM GMT+2","8","7","8","8","6","9","8","8","7","8","7","","","","7","9","8","5","No"
"2020/03/10 12:06:35 AM GMT+2","7","8","7","8","8","10","8","9","9","9","8","7","8","8","10","10","10","3","No"
"2020/03/10 12:06:49 AM GMT+2","7","7","7","7","6","9","8","8","7","8","7","6","8","7","10","10","9","3","No"
"2020/03/10 12:07:06 AM GMT+2","7","8","8","7","7","9","8","8","8","8","7","7","9","8","9","9","10","6","No"
"2020/03/10 12:07:32 AM GMT+2","8","9","8","9","8","10","8","10","9","9","8","9","9","9","10","10","9","6","No"
"2020/03/10 12:07:33 AM GMT+2","8","8","9","10","8","10","10","10","9","9","8","9","9","10","9","9","9","6","No"
"2020/03/10 12:07:50 AM GMT+2","9","9","9","10","9","10","9","10","9","10","10","9","10","9","10","10","10","5","No"
"2020/03/10 12:09:20 AM GMT+2","7","7","7","7","7","8","6","7","8","7","6","6","7","7","8","9","8","6","Yes"
"2020/03/10 12:09:26 AM GMT+2","8","9","8","9","7","10","8","9","9","9","8","7","8","8","10","10","10","6","No"
"2020/03/10 12:09:51 AM GMT+2","10","10","10","10","10","10","10","10","10","10","9","","","","9","9","9","5","No"
"2020/03/10 12:09:56 AM GMT+2","9","6","8","10","8","10","8","9","10","8","8","8","9","9","9","10","10","6","No"
"2020/03/10 12:10:04 AM GMT+2","8","10","7","9","7","10","9","8","8","9","7","7","9","8","9","10","10","6","No"
"2020/03/10 12:10:14 AM GMT+2","8","8","8","9","7","9","9","9","8","8","7","7","8","9","9","10","10","5","No"
"2020/03/10 12:10:23 AM GMT+2","8","8","9","8","7","9","8","8","9","8","7","8","9","8","10","10","10","1","No"
"2020/03/10 12:10:35 AM GMT+2","8","7","8","8","8","9","9","7","8","9","8","7","8","8","10","10","9","4","No"
"2020/03/10 12:10:43 AM GMT+2","7","8","7","9","7","9","8","9","9","9","8","6","8","7","10","10","10","1","No"
"2020/03/10 12:11:41 AM GMT+2","7","7","7","8","7","9","7","8","8","8","7","","","","8","10","8","4",""
"2020/03/10 12:11:42 AM GMT+2","7","7","8","8","6","10","7","8","8","7","7","6","8","7","10","10","10","5","No"
"2020/03/10 12:11:52 AM GMT+2","8","7","8","7","7","9","7","7","8","8","7","","9","8","9","10","10","5","No"
"2020/03/10 12:12:09 AM GMT+2","8","8","8","9","8","9","8","8","9","9","7","7","9","7","9","10","10","7","Yes"
"2020/03/10 12:12:10 AM GMT+2","9","8","8","9","8","9","8","8","10","8","7","7","7","7","9","10","9","7","Yes"
"2020/03/10 12:12:28 AM GMT+2","7","8","8","7","8","10","9","7","7","7","7","6","8","8","10","9","10","1","No"
"2020/03/10 12:12:28 AM GMT+2","9","7","9","10","8","10","9","10","9","9","8","10","10","","10","10","10","6","No"
"2020/03/10 12:12:36 AM GMT+2","8","9","8","9","7","10","8","9","9","8","7","","8","8","9","10","10","7","No"
"2020/03/10 12:12:51 AM GMT+2","10","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","1","No"
"2020/03/10 12:13:27 AM GMT+2","7","8","7","8","6","10","7","9","9","8","7","6","8","7","9","10","10","7","Yes"
"2020/03/10 12:13:44 AM GMT+2","7","8","7","8","7","9","8","8","8","7","7","6","8","7","8","10","9","6","No"
"2020/03/10 12:13:49 AM GMT+2","7","8","8","8","8","10","8","9","9","9","9","","8","8","10","10","10","1","No"
"2020/03/10 12:14:41 AM GMT+2","6","8","8","9","5","10","8","8","9","9","6","9","8","8","10","10","10","5","No"
"2020/03/10 12:15:02 AM GMT+2","8","8","8","8","8","10","8","9","8","8","7","","9","8","8","8","8","6","No"
"2020/03/10 12:15:27 AM GMT+2","8","8","8","9","6","10","9","10","9","9","7","6","8","8","10","10","10","4","No"
"2020/03/10 12:16:18 AM GMT+2","7","6","7","6","6","10","6","7","9","8","7","6","7","6","10","10","9","1","Yes"
