"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Team Performance","Final Result","Ole","Sheffield Utd","Did the ref do a good job?"
"2020/06/25 7:51:22 PM GMT+2","6","6","6","6","7","8","8","8","8","6","10","8","8","7","4","Yes"
"2020/06/25 7:51:33 PM GMT+2","6","7","6","6","8","9","7","6","8","7","10","7","8","8","2","Yes"
"2020/06/25 7:51:45 PM GMT+2","7","8","7","7","8","9","9","7","7","7","10","9","9","9","4","Yes"
"2020/06/25 7:51:46 PM GMT+2","6","7","7","7","8","9","8","8","8","7","10","10","10","9","4","Yes"
"2020/06/25 7:54:35 PM GMT+2","6","6","6","7","6","9","8","7","6","8","9","8","10","7","4","Yes"
"2020/06/25 7:55:06 PM GMT+2","7","8","8","8","9","10","10","9","9","8","9","10","8","10","5","Yes"
"2020/06/25 7:55:08 PM GMT+2","9","9","8","9","8","8","8","8","8","8","10","9","10","10","10","Yes"
"2020/06/25 7:57:46 PM GMT+2","8","8","9","8","10","9","9","9","9","8","10","10","10","10","8","Yes"
"2020/06/25 7:59:08 PM GMT+2","6","7","8","8","8","10","8","7","8","7","10","9","8","9","2","Yes"
"2020/06/25 7:59:45 PM GMT+2","8","8","8","8","9","9","9","8","9","8","10","9","9","9","4","Yes"
"2020/06/25 8:00:20 PM GMT+2","8","8","8","8","8","10","9","8","8","8","10","10","10","9","8","Yes"
"2020/06/25 8:00:28 PM GMT+2","7","6","8","8","8","9","9","7","9","7","10","8","7","8","4","No"
"2020/06/25 8:00:30 PM GMT+2","8","7","8","8","9","10","8","8","8","7","10","10","10","10","4","Yes"
"2020/06/25 8:00:34 PM GMT+2","7","7","7","7","7","9","7","8","7","6","10","9","9","10","6","Yes"
"2020/06/25 8:02:12 PM GMT+2","6","7","7","7","8","8","8","7","8","7","9","9","8","8","3","Yes"
"2020/06/25 8:02:18 PM GMT+2","7","8","8","7","8","9","8","8","8","7","10","9","9","10","4","Yes"
"2020/06/25 8:02:19 PM GMT+2","7","8","8","7","8","10","9","8","9","7","10","10","8","9","3","Yes"
"2020/06/25 8:05:36 PM GMT+2","7","7","8","8","8","10","8","7","8","7","10","10","10","8","1","Yes"
