"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Mason Greenwood","Andreas Pereira(optional)","Team Performance","Final Result","Ole","Tottenham","Did the ref/VAR do a good job (optional, please be unbiased)"
"2019/12/06 3:20:15 PM GMT+1","7","7","7","8","7","8","8","8","7","7","7","6","8","9","8","5","Yes"
"2019/12/06 3:20:56 PM GMT+1","8","7","7","8","8","9","8","10","8","8","9","4","9","9","10","6","Yes"
"2019/12/06 3:21:01 PM GMT+1","8","7","8","8","8","9","8","9","8","7","7","5","9","8","9","6","Yes"
"2019/12/06 3:21:07 PM GMT+1","7","5","5","6","6","10","8","10","8","7","6","","7","8","6","6","Yes"
"2019/12/06 3:21:17 PM GMT+1","6","6","6","6","6","8","7","8","7","7","6","1","7","7","7","5","Yes"
"2019/12/06 3:21:30 PM GMT+1","9","8","10","10","9","9","9","9","8","8","7","","8","7","9","4","Yes"
"2019/12/06 3:21:31 PM GMT+1","8","8","7","8","7","9","9","9","7","7","6","5","9","9","9","7","Yes"
"2019/12/06 3:23:31 PM GMT+1","7","7","7","7","7","9","7","9","7","7","8","5","9","10","8","3","Yes"
"2019/12/06 3:23:32 PM GMT+1","5","7","7","8","7","9","9","9","8","7","7","","9","10","9","6","No"
"2019/12/06 3:24:00 PM GMT+1","8","5","6","7","8","8","8","9","7","7","6","","7","6","6","6",""
"2019/12/06 3:24:16 PM GMT+1","7","7","6","9","8","10","10","10","7","7","1","","9","10","8","8","Yes"
"2019/12/06 3:25:12 PM GMT+1","8","7","6","7","7","9","8","9","7","7","7","5","8","7","8","4","Yes"
"2019/12/06 3:27:03 PM GMT+1","7","7","7","7","7","8","8","8","7","7","6","5","7","8","8","7","Yes"
"2019/12/06 3:27:12 PM GMT+1","7","7","4","5","7","9","8","10","5","7","6","5","9","8","8","6","No"
"2019/12/06 3:27:30 PM GMT+1","7","7","8","8","8","8","8","9","7","7","7","6","9","9","8","4","Yes"
"2019/12/06 3:27:38 PM GMT+1","7","6","7","7","7","10","9","9","8","8","6","","7","8","8","5","Yes"
"2019/12/06 3:28:16 PM GMT+1","7","6","7","8","7","9","8","10","6","7","6","5","7","8","8","4","Yes"
"2019/12/06 3:29:17 PM GMT+1","9","6","7","8","7","9","7","9","9","6","6","5","8","10","8","6","Yes"
"2019/12/06 3:29:42 PM GMT+1","8","6","7","9","8","10","8","9","7","7","5","1","8","10","8","3","Yes"
"2019/12/06 3:30:26 PM GMT+1","7","6","7","7","6","8","8","9","6","6","6","","7","8","8","4","Yes"
"2019/12/06 3:30:45 PM GMT+1","8","6","6","7","7","8","8","10","7","9","8","6","9","9","9","5","Yes"
"2019/12/06 3:31:55 PM GMT+1","8","7","6","7","8","9","8","10","8","7","7","5","8","8","9","4","Yes"
"2019/12/06 3:34:15 PM GMT+1","8","7","7","7","7","8","7","9","7","6","6","5","8","9","8","6","Yes"
"2019/12/06 3:34:15 PM GMT+1","6","6","6","7","6","6","7","7","6","6","5","","7","8","7","5",""
"2019/12/06 3:35:25 PM GMT+1","9","7","8","9","8","9","7","10","7","7","6","","9","9","10","4","Yes"
"2019/12/06 3:35:35 PM GMT+1","8","6","7","7","7","8","8","9","8","6","6","6","8","8","9","4","Yes"
"2019/12/06 3:36:23 PM GMT+1","6","6","5","6","5","8","6","8","7","6","6","4","7","7","7","2","Yes"
"2019/12/06 3:37:10 PM GMT+1","7","7","7","8","7","8","7","9","8","7","7","6","7","8","7","6","Yes"
"2019/12/06 3:38:06 PM GMT+1","8","7","8","6","6","8","9","9","6","7","7","5","9","9","8","6","Yes"
"2019/12/06 3:38:09 PM GMT+1","8","7","7","8","8","10","7","10","7","7","6","4","7","8","9","7","Yes"
"2019/12/06 3:38:21 PM GMT+1","6","6","6","9","9","10","9","10","9","7","7","5","8","8","8","4","Yes"
"2019/12/06 3:38:28 PM GMT+1","6","6","6","7","7","9","8","10","7","6","6","5","8","10","8","5","Yes"
"2019/12/06 3:38:47 PM GMT+1","8","7","6","7","7","9","8","9","7","8","7","","9","7","9","6",""
"2019/12/06 3:38:58 PM GMT+1","7","8","6","6","7","10","7","10","7","8","7","3","8","9","8","5","Yes"
"2019/12/06 3:39:27 PM GMT+1","8","7","7","8","8","9","10","10","7","8","6","5","9","8","8","7","Yes"
"2019/12/06 3:40:13 PM GMT+1","7","6","7","7","8","8","7","9","7","7","7","","8","8","10","7","Yes"
"2019/12/06 3:40:28 PM GMT+1","8","7","7","8","7","8","9","10","8","9","8","5","9","9","10","7","Yes"
"2019/12/06 3:41:00 PM GMT+1","7","6","7","7","6","8","8","9","6","7","7","5","8","8","8","6","Yes"
"2019/12/06 3:41:05 PM GMT+1","7","8","6","9","9","10","10","10","8","8","7","6","9","9","9","4","Yes"
"2019/12/06 3:42:42 PM GMT+1","7","7","7","7","8","9","8","9","8","7","7","5","9","9","8","4","Yes"
"2019/12/06 3:43:49 PM GMT+1","9","7","7","7","7","8","9","10","8","7","7","6","8","8","9","8","Yes"
"2019/12/06 3:45:29 PM GMT+1","9","8","7","8","9","9","8","10","9","8","7","6","9","9","9","7","Yes"
"2019/12/06 3:45:36 PM GMT+1","6","7","6","6","7","8","7","9","5","6","4","4","9","10","9","4","Yes"
"2019/12/06 3:46:52 PM GMT+1","8","7","6","8","9","10","9","10","7","6","6","2","8","10","7","5","No"
"2019/12/06 3:46:52 PM GMT+1","7","7","7","7","7","8","8","9","7","7","7","5","7","9","7","5","Yes"
"2019/12/06 3:46:53 PM GMT+1","9","6","7","9","9","10","9","10","8","9","8","6","9","9","10","4","Yes"
"2019/12/06 3:47:05 PM GMT+1","7","5","7","8","7","8","7","9","7","6","6","5","7","9","6","4",""
"2019/12/06 3:47:20 PM GMT+1","8","7","7","9","7","10","9","9","7","8","7","6","8","7","7","5","Yes"
"2019/12/06 3:47:41 PM GMT+1","6","6","6","6","6","7","6","9","6","6","6","6","8","8","7","2","Yes"
"2019/12/06 3:47:56 PM GMT+1","9","6","7","8","7","10","10","10","7","8","6","","8","8","8","5","Yes"
"2019/12/06 3:47:57 PM GMT+1","9","7","8","8","8","9","9","9","8","8","8","5","10","9","9","5","Yes"
"2019/12/06 3:48:11 PM GMT+1","7","6","8","8","8","9","9","10","7","7","6","6","9","8","10","6","Yes"
"2019/12/06 3:48:49 PM GMT+1","8","6","7","8","8","9","7","9","6","7","6","5","7","7","7","4","Yes"
"2019/12/06 3:49:05 PM GMT+1","7","7","6","7","7","8","8","10","8","7","5","","8","9","8","3","Yes"
"2019/12/06 3:49:07 PM GMT+1","7","6","7","7","7","8","7","9","7","7","6","4","8","9","7","3","Yes"
"2019/12/06 3:49:20 PM GMT+1","6","5","6","7","8","9","7","9","5","6","6","5","8","10","9","5","No"
"2019/12/06 3:49:44 PM GMT+1","8","8","7","8","8","9","8","9","8","7","7","6","8","9","8","6","Yes"
"2019/12/06 3:49:59 PM GMT+1","6","7","6","7","7","9","8","10","6","7","7","","8","9","7","3","Yes"
"2019/12/06 3:50:19 PM GMT+1","7","6","7","8","7","8","6","9","7","6","6","5","8","9","9","4","Yes"
"2019/12/06 3:50:20 PM GMT+1","6","8","6","7","7","9","9","8","7","5","6","5","8","10","10","7","Yes"
"2019/12/06 3:50:38 PM GMT+1","7","4","6","7","7","7","7","10","7","7","7","1","7","6","7","5","Yes"
"2019/12/06 3:50:54 PM GMT+1","7","6","7","7","8","8","7","9","7","8","6","","9","10","9","2","Yes"
