"Timestamp","David de Gea","Brandon Williams","Harry Maguire","Victor Lindelof","Ashley Young","Nemanja Matic","Fred","Marcus Rashford","Andreas Pereira","Daniel James","Anthony Martial","Jesse Lingard (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref/VAR do a good job? (optional)"
"2019/12/29 5:59:31 PM GMT+1","7","8","7","7","7","6","8","7","8","7","8","6","7","7","8","4","Yes"
"2019/12/29 5:59:35 PM GMT+1","7","8","7","7","7","6","8","8","7","7","9","6","8","7","8","2","No"
"2019/12/29 5:59:35 PM GMT+1","7","7","7","7","7","7","8","6","6","7","7","5","6","9","7","5","No"
"2019/12/29 5:59:40 PM GMT+1","7","8","7","7","7","7","7","8","7","7","7","6","7","8","7","5","No"
"2019/12/29 5:59:42 PM GMT+1","7","8","7","7","6","6","9","7","8","7","9","5","7","8","7","1","No"
"2019/12/29 5:59:56 PM GMT+1","6","9","8","8","8","9","9","6","7","8","9","","8","8","8","1","No"
"2019/12/29 6:00:53 PM GMT+1","7","8","7","7","7","6","8","8","7","7","7","5","8","7","7","4","Yes"
"2019/12/29 6:01:25 PM GMT+1","8","8","8","7","7","7","8","7","8","8","8","7","8","8","7","1","No"
"2019/12/29 6:01:25 PM GMT+1","8","8","7","7","7","6","9","8","8","8","9","6","8","10","8","5","No"
"2019/12/29 6:01:35 PM GMT+1","7","8","7","7","7","6","7","6","7","7","7","6","7","7","8","5","No"
"2019/12/29 6:02:00 PM GMT+1","7","7","7","8","8","7","7","7","8","7","8","6","7","9","7","3","No"
"2019/12/29 6:02:24 PM GMT+1","6","8","6","6","5","6","6","7","8","8","7","5","7","8","8","4","No"
"2019/12/29 6:02:34 PM GMT+1","7","8","7","9","7","7","8","7","7","7","8","","8","9","8","1","No"
"2019/12/29 6:02:39 PM GMT+1","7","9","8","7","5","7","8","6","7","8","8","","7","8","8","6","No"
"2019/12/29 6:02:55 PM GMT+1","6","7","7","7","7","7","8","7","7","7","7","6","7","8","8","4","Yes"
"2019/12/29 6:03:00 PM GMT+1","7","9","7","7","7","7","7","7","7","8","8","6","8","8","8","4","No"
"2019/12/29 6:03:15 PM GMT+1","7","8","8","8","7","7","9","8","7","9","9","","7","8","8","3","No"
"2019/12/29 6:04:11 PM GMT+1","7","8","7","7","7","7","8","7","7","7","8","","8","8","8","6","No"
"2019/12/29 6:04:22 PM GMT+1","7","8","7","6","7","7","8","8","7","8","7","6","7","7","9","7","No"
"2019/12/29 6:04:25 PM GMT+1","7","8","7","7","7","7","8","7","8","10","8","","7","9","8","1","No"
"2019/12/29 6:04:30 PM GMT+1","8","8","7","8","7","6","8","7","8","8","9","","7","6","8","6","No"
"2019/12/29 6:04:40 PM GMT+1","7","9","7","6","6","4","7","6","5","3","7","5","8","7","7","4","No"
"2019/12/29 6:04:43 PM GMT+1","7","9","8","7","7","6","8","9","8","10","9","6","8","7","9","7",""
"2019/12/29 6:04:47 PM GMT+1","6","8","7","7","7","7","8","8","6","6","9","6","7","8","8","5","No"
"2019/12/29 6:05:09 PM GMT+1","9","8","7","6","6","6","8","9","8","9","9","","9","10","8","6","Yes"
"2019/12/29 6:05:10 PM GMT+1","7","8","8","7","7","6","8","7","7","7","9","5","9","9","9","6","Yes"
"2019/12/29 6:05:47 PM GMT+1","7","9","8","8","7","6","8","9","8","9","10","6","8","8","8","10","No"
"2019/12/29 6:05:59 PM GMT+1","7","9","8","8","8","8","9","8","7","8","8","6","8","8","9","3","No"
"2019/12/29 6:06:08 PM GMT+1","6","7","6","6","8","6","7","7","8","7","7","7","6","7","6","4","No"
"2019/12/29 6:06:43 PM GMT+1","6","7","7","7","7","7","7","6","7","7","7","5","8","7","9","1","No"
"2019/12/29 6:06:56 PM GMT+1","9","9","9","9","8","8","9","8","10","7","9","5","8","9","9","6","Yes"
"2019/12/29 6:07:09 PM GMT+1","7","9","8","7","7","7","8","7","8","8","8","","9","9","8","5","No"
"2019/12/29 6:07:22 PM GMT+1","7","7","7","7","8","8","8","7","7","6","6","5","7","8","8","4","Yes"
"2019/12/29 6:07:32 PM GMT+1","9","8","8","8","8","7","8","7","7","8","9","5","8","8","9","5","No"
