"Timestamp","De Gea","Williams","Maguire","Lindelof","AWB","Fred","Matic","Rashford","Pereira","Mata","Martial","James (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Norwich","Did the ref/VAR do a good job?"
"2020/01/12 7:23:27 PM GMT+1","7","8","7","4","7","7","7","9","6","9","7","7","8","8","8","8","2","Yes"
"2020/01/12 7:23:56 PM GMT+1","7","8","8","7","6","6","7","9","7","10","7","","7","9","10","8","4","Yes"
"2020/01/12 7:24:00 PM GMT+1","6","7","6","6","6","7","7","9","7","8","8","6","7","8","9","9","3","Yes"
"2020/01/12 7:24:10 PM GMT+1","7","8","8","7","8","6","9","10","6","10","9","6","7","10","10","7","4","Yes"
"2020/01/12 7:24:49 PM GMT+1","7","8","6","7","7","7","8","9","8","9","9","7","8","8","8","8","4","Yes"
"2020/01/12 7:25:09 PM GMT+1","7","9","7","8","7","8","8","8","8","10","8","","","8","8","9","2","Yes"
"2020/01/12 7:25:09 PM GMT+1","7","8","6","7","7","6","8","9","7","10","7","6","8","8","10","9","3",""
"2020/01/12 7:25:11 PM GMT+1","7","8","7","7","7","8","7","8","6","8","7","","","8","10","8","4","Yes"
"2020/01/12 7:26:24 PM GMT+1","7","8","7","7","7","7","7","7","6","7","8","6","9","7","8","6","2","Yes"
"2020/01/12 7:26:47 PM GMT+1","7","9","7","8","8","8","8","10","7","9","8","6","10","10","10","8","4","Yes"
"2020/01/12 7:27:12 PM GMT+1","6","8","7","7","7","9","8","9","7","8","8","5","7","7","8","7","2","Yes"
"2020/01/12 7:27:55 PM GMT+1","8","7","7","7","8","7","6","8","7","8","7","","","7","7","7","2","Yes"
"2020/01/12 7:28:03 PM GMT+1","8","8","7","7","7","8","8","9","7","8","8","6","8","8","9","9","6","Yes"
"2020/01/12 7:28:05 PM GMT+1","7","9","6","6","8","7","9","9","7","9","8","6","8","8","8","7","4","Yes"
"2020/01/12 7:28:50 PM GMT+1","7","8","8","8","7","8","7","9","6","9","8","","","7","8","8","4","Yes"
"2020/01/12 7:28:53 PM GMT+1","7","9","8","7","7","9","7","10","8","8","8","6","8","8","8","7","4","Yes"
"2020/01/12 7:29:30 PM GMT+1","7","8","7","8","7","8","7","9","8","9","8","6","7","9","9","9","2","Yes"
"2020/01/12 7:29:33 PM GMT+1","9","8","8","8","7","9","8","9","8","8","8","8","8","8","9","7","5","Yes"
"2020/01/12 7:30:10 PM GMT+1","8","7","7","8","7","8","8","9","7","8","8","6","7","9","9","9","3","No"
"2020/01/12 7:30:24 PM GMT+1","7","9","8","9","7","9","8","9","7","10","8","7","8","9","9","8","2","Yes"
"2020/01/12 7:30:44 PM GMT+1","7","8","7","7","7","7","7","9","6","9","8","","8","9","9","9","2","Yes"
"2020/01/12 7:31:16 PM GMT+1","7","8","8","8","6","7","7","8","6","8","7","","","8","9","8","2","Yes"
"2020/01/12 7:31:50 PM GMT+1","8","8","6","6","6","6","8","9","6","8","7","6","7","7","7","6","3","Yes"
"2020/01/12 7:32:27 PM GMT+1","8","9","7","8","7","8","8","9","7","8","7","6","7","8","8","8","4","Yes"
"2020/01/12 7:33:10 PM GMT+1","8","8","8","8","9","9","8","9","7","10","9","","8","9","10","8","4","Yes"
"2020/01/12 7:33:20 PM GMT+1","6","9","6","7","8","9","7","9","8","9","7","7","8","9","10","8","3","No"
"2020/01/12 7:35:10 PM GMT+1","8","8","8","8","8","9","8","9","8","9","9","8","8","8","10","10","3",""
"2020/01/12 7:35:25 PM GMT+1","7","6","4","4","8","8","2","8","6","9","7","7","7","9","7","1","1","No"
"2020/01/12 7:35:32 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","","7","8","9","8","2","Yes"
"2020/01/12 7:36:56 PM GMT+1","7","7","7","7","7","8","7","8","8","8","7","7","8","8","8","8","1","Yes"
"2020/01/12 7:37:13 PM GMT+1","7","8","7","7","7","7","7","9","7","9","8","7","8","8","8","8","2","Yes"
"2020/01/12 7:38:00 PM GMT+1","8","8","7","7","7","8","8","9","7","9","8","6","8","8","9","9","3","Yes"
"2020/01/12 7:38:21 PM GMT+1","8","8","7","8","8","9","8","10","7","9","9","7","10","9","10","10","2","Yes"
"2020/01/12 7:39:24 PM GMT+1","7","9","7","7","8","8","8","8","7","8","7","7","8","9","10","8","1","Yes"
"2020/01/12 7:43:02 PM GMT+1","9","9","8","8","8","8","8","9","7","9","8","8","9","10","10","9","5","Yes"
"2020/01/12 7:43:05 PM GMT+1","8","9","7","8","8","8","8","10","8","10","9","","","9","10","9","3",""
"2020/01/12 7:43:20 PM GMT+1","7","8","6","7","7","8","8","9","8","9","8","6","7","9","10","8","3","Yes"
"2020/01/12 7:43:34 PM GMT+1","7","7","7","7","6","8","8","9","7","9","8","6","8","8","8","8","4","Yes"
