"Timestamp","David de Gea","Ashley Young","Harry Maguire","Alex Tuanzebe","Diogo Dalot","Fred","Scott McTominay","Daniel James","Juan Mata","Andreas Pereira","Marcus Rashford","Marcos Rojo (optional)","Mason Greenwood (optional)","Performance","Final Result","Ole","Opponent - Newcastle  ","Were you happy with the ref? (optional)"
"2019/10/07 5:50:23 PM GMT+1","6","3","5","4","3","1","1","1","1","1","1","1","1","1","1","1","7","Yes"
"2019/10/07 5:51:16 PM GMT+1","5","4","5","6","4","3","5","5","4","3","4","4","4","2","5","2","2","Yes"
"2019/10/07 5:52:05 PM GMT+1","2","3","2","5","2","3","4","3","2","2","2","","","2","1","3","6","Yes"
"2019/10/07 5:53:25 PM GMT+1","6","2","4","7","3","1","4","6","1","1","2","3","6","1","1","1","4","Yes"
"2019/10/07 5:54:09 PM GMT+1","5","2","3","4","2","1","2","4","2","1","1","3","3","2","1","1","5","Yes"
"2019/10/07 5:56:21 PM GMT+1","6","2","6","6","5","1","6","6","2","4","2","","","1","1","3","5","Yes"
"2019/10/07 5:57:34 PM GMT+1","6","2","4","5","4","1","3","5","2","1","1","3","5","1","1","1","8","Yes"
"2019/10/07 5:58:55 PM GMT+1","5","3","3","4","4","2","4","4","5","3","3","4","4","3","3","3","6",""
"2019/10/07 5:59:31 PM GMT+1","5","4","6","7","3","1","5","4","3","2","3","3","","3","2","3","5","Yes"
"2019/10/07 6:05:13 PM GMT+1","6","3","5","6","3","2","3","4","2","2","1","5","5","1","1","2","5","Yes"
"2019/10/07 6:06:32 PM GMT+1","6","2","7","7","5","2","7","6","4","5","1","6","5","1","1","3","6","Yes"
"2019/10/07 6:07:37 PM GMT+1","6","3","5","6","4","2","5","4","2","3","2","4","3","3","1","2","7","Yes"
"2019/10/07 6:08:51 PM GMT+1","5","3","4","4","3","1","3","4","4","2","2","1","3","2","1","1","6","Yes"
"2019/10/07 6:09:51 PM GMT+1","4","4","5","5","5","1","2","3","1","1","1","3","1","1","1","1","2","No"
"2019/10/07 6:10:25 PM GMT+1","5","5","4","4","5","2","4","5","3","1","2","2","","1","1","3","6","Yes"
"2019/10/07 6:11:42 PM GMT+1","5","5","6","6","4","3","6","5","4","5","5","5","5","4","2","3","5","Yes"
"2019/10/07 6:13:16 PM GMT+1","6","4","5","6","4","2","6","5","2","3","3","2","2","1","1","1","2","Yes"
"2019/10/07 6:17:21 PM GMT+1","6","5","6","6","4","2","4","5","5","4","4","4","5","1","1","1","6","No"
