"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Paul Pogba (optional)","Juan Mata (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job (optional) (be unbiased)"
"2019/12/24 10:27:02 PM GMT+1","3","3","4","3","4","5","5","5","5","6","6","6","8","6","4","1","3","5","Yes"
"2019/12/24 10:30:12 PM GMT+1","3","5","5","5","5","7","6","6","2","5","6","5","8","5","5","7","3","8","Yes"
"2019/12/24 10:30:36 PM GMT+1","4","6","6","5","6","6","3","4","1","6","6","7","10","7","2","10","2","6","Yes"
"2019/12/24 10:31:37 PM GMT+1","4","5","5","6","6","7","4","4","4","4","6","5","7","5","4","2","2","6","Yes"
"2019/12/24 10:32:14 PM GMT+1","3","5","5","5","3","5","4","4","3","4","7","4","8","4","2","1","3","7","Yes"
"2019/12/24 10:33:06 PM GMT+1","1","4","3","3","5","3","3","3","1","3","3","3","7","6","2","1","1","6","Yes"
"2019/12/24 10:33:07 PM GMT+1","2","3","5","4","3","5","4","4","1","3","4","4","8","3","2","1","4","4","Yes"
"2019/12/24 10:33:36 PM GMT+1","1","1","6","1","5","5","5","5","1","5","7","6","10","5","1","1","1","1","No"
"2019/12/24 10:34:19 PM GMT+1","3","3","5","5","3","5","4","5","1","3","7","7","8","6","1","3","7","10","Yes"
"2019/12/24 10:36:22 PM GMT+1","2","2","4","4","5","5","5","5","1","4","5","","7","","1","1","1","7",""
"2019/12/24 10:38:45 PM GMT+1","2","4","4","5","3","4","4","5","1","3","6","5","7","3","2","1","2","7","Yes"
"2019/12/24 10:39:19 PM GMT+1","3","5","5","5","7","5","4","5","4","5","6","","7","","3","1","2","6","Yes"
"2019/12/24 10:39:47 PM GMT+1","2","6","5","5","4","6","3","5","3","4","5","5","8","","1","1","1","3","Yes"
"2019/12/24 10:41:00 PM GMT+1","3","5","5","4","3","4","5","5","1","3","6","5","7","4","2","2","3","6","Yes"
"2019/12/24 10:41:01 PM GMT+1","3","3","4","4","3","2","2","4","1","3","6","5","7","4","3","1","1","5","Yes"
"2019/12/24 10:43:50 PM GMT+1","3","3","3","3","4","6","4","4","1","3","6","5","8","3","1","1","1","7","Yes"
"2019/12/24 10:45:16 PM GMT+1","3","4","3","4","4","5","5","3","3","3","3","5","10","4","3","3","3","3","Yes"
"2019/12/24 10:46:23 PM GMT+1","4","5","5","6","4","5","5","4","5","5","6","6","6","6","4","4","4","5","No"
"2019/12/24 10:46:29 PM GMT+1","1","5","4","2","3","5","4","2","1","2","4","5","7","","2","1","1","4","No"
"2019/12/24 10:47:14 PM GMT+1","1","4","4","4","2","8","6","3","2","4","1","4","8","4","1","1","1","5","Yes"
"2019/12/24 10:49:19 PM GMT+1","2","3","3","3","3","4","4","4","2","2","4","","5","","1","1","6","7","No"
"2019/12/24 10:51:00 PM GMT+1","3","4","6","5","5","6","4","5","5","4","4","5","8","5","3","1","6","5","Yes"
"2019/12/24 10:51:52 PM GMT+1","2","3","3","3","5","4","4","4","1","5","2","","","","1","1","1","6",""
"2019/12/24 10:55:00 PM GMT+1","3","4","4","6","5","5","4","4","2","3","3","5","8","3","3","1","4","8","Yes"
"2019/12/24 10:56:14 PM GMT+1","5","6","8","6","5","4","4","4","4","4","8","4","9","5","5","5","8","6","Yes"
"2019/12/24 11:02:56 PM GMT+1","3","4","5","5","5","6","5","4","4","4","6","","8","","2","1","2","5","Yes"
"2019/12/24 11:03:02 PM GMT+1","2","4","5","5","6","5","3","4","3","3","3","3","7","","2","2","4","5","Yes"
"2019/12/24 11:05:36 PM GMT+1","3","4","4","4","3","5","4","4","3","4","6","4","7","5","2","1","1","5","Yes"
"2019/12/24 11:06:56 PM GMT+1","2","3","5","5","6","4","4","3","2","2","4","","7","","3","1","3","5","Yes"
"2019/12/24 11:07:54 PM GMT+1","5","6","7","8","7","8","8","8","3","6","7","7","9","","2","1","3","6","Yes"
"2019/12/24 11:09:16 PM GMT+1","2","4","6","6","5","6","3","2","2","3","6","5","7","4","3","1","1","6","Yes"
