"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Fred","James","Bruno Fernandes","Greenwood","Martial","McTominay (optional)","Chong (optional)","Ighalo (optional)","Team Performance","Final Result","Ole","Watford","Did the ref do a good job?"
"2020/02/26 10:59:41 PM GMT+2","6","7","7","7","6","7","7","6","8","7","6","5","5","5","7","8","6","4","Yes"
"2020/02/26 11:06:28 PM GMT+2","7","8","8","7","6","8","8","7","9","8","9","6","6","6","8","10","8","7","Yes"
"2020/02/26 11:08:55 PM GMT+2","6","7","6","5","7","6","5","7","9","7","7","","","","7","10","8","4","Yes"
"2020/02/26 11:09:25 PM GMT+2","7","9","7","8","8","8","9","8","9","8","8","","","","9","10","9","6","Yes"
"2020/02/26 11:09:29 PM GMT+2","8","8","8","7","8","7","9","9","10","9","9","8","7","7","9","9","10","5","Yes"
"2020/02/26 11:10:22 PM GMT+2","7","9","6","6","7","5","4","6","9","8","8","7","5","5","7","8","9","5","Yes"
"2020/02/26 11:11:45 PM GMT+2","7","9","7","8","7","7","8","9","10","7","7","","","","8","9","8","7","Yes"
"2020/02/26 11:14:52 PM GMT+2","8","9","8","8","9","8","7","7","9","8","8","7","6","7","7","8","8","6","Yes"
"2020/02/26 11:17:32 PM GMT+2","8","9","8","7","8","8","7","7","10","7","7","","","","8","10","10","2","Yes"
"2020/02/26 11:17:32 PM GMT+2","8","9","7","7","7","7","8","8","9","8","8","7","7","7","8","9","8","5","Yes"
"2020/02/26 11:18:54 PM GMT+2","7","9","8","7","7","6","5","8","9","8","8","","","","9","9","9","4","Yes"
"2020/02/26 11:19:30 PM GMT+2","7","9","8","8","8","7","7","8","9","7","7","6","5","5","8","10","7","3","Yes"
"2020/02/26 11:20:52 PM GMT+2","7","8","7","7","7","7","7","7","9","6","7","6","6","6","9","10","8","6","Yes"
"2020/02/26 11:26:57 PM GMT+2","8","8","8","7","7","7","8","6","9","8","7","5","5","5","8","9","7","5","Yes"
"2020/02/26 11:29:10 PM GMT+2","7","8","7","7","7","7","8","7","10","8","9","","","","8","10","10","4","Yes"
"2020/02/26 11:30:19 PM GMT+2","7","9","8","6","7","7","7","7","9","8","8","","","","8","8","8","6","Yes"
"2020/02/26 11:30:56 PM GMT+2","7","8","8","8","7","5","7","7","9","7","7","","","","8","9","8","6","Yes"
"2020/02/26 11:31:13 PM GMT+2","8","9","9","7","8","6","7","6","9","8","8","","","","8","10","8","7","Yes"
"2020/02/26 11:41:17 PM GMT+2","7","9","8","7","7","7","8","8","9","8","9","7","6","7","8","9","9","6","Yes"
"2020/02/26 11:42:25 PM GMT+2","7","8","8","7","7","7","7","7","9","8","8","6","6","6","9","9","8","5","Yes"
"2020/02/26 11:44:24 PM GMT+2","9","9","9","9","8","9","9","7","10","8","9","7","8","8","8","9","9","6","Yes"
"2020/02/26 11:52:39 PM GMT+2","7","8","8","5","7","7","5","6","9","7","8","","","","8","10","8","6","Yes"
"2020/02/26 11:54:40 PM GMT+2","7","8","8","7","7","7","8","7","9","9","9","7","7","7","7","7","9","3","Yes"
"2020/02/26 11:58:24 PM GMT+2","8","9","8","8","8","8","5","7","9","7","8","","","","8","10","9","7","Yes"
"2020/02/26 11:59:45 PM GMT+2","7","7","7","7","7","8","8","8","9","8","8","8","","","6","10","10","6","Yes"
"2020/02/27 12:01:12 AM GMT+2","7","7","5","6","6","6","7","6","9","9","9","","","","6","7","5","4","Yes"
"2020/02/27 12:01:34 AM GMT+2","7","7","7","6","6","6","7","6","10","8","8","7","5","6","8","9","9","5","Yes"
"2020/02/27 12:01:59 AM GMT+2","7","7","7","6","7","7","6","5","7","7","6","","","","6","8","5","4","Yes"
"2020/02/27 12:03:13 AM GMT+2","8","8","8","8","8","6","7","8","9","8","8","7","6","6","9","9","8","3","Yes"
"2020/02/27 12:03:44 AM GMT+2","6","7","7","5","6","6","6","8","9","7","7","6","6","6","7","8","7","5","Yes"
"2020/02/27 12:05:39 AM GMT+2","6","7","7","7","7","7","7","7","10","7","7","6","","7","7","7","8","4","Yes"
"2020/02/27 12:07:22 AM GMT+2","7","7","7","7","7","8","8","6","10","8","8","7","6","6","9","10","10","3","Yes"
"2020/02/27 12:07:43 AM GMT+2","8","9","10","9","8","8","10","8","10","8","8","7","7","7","10","10","10","7","Yes"
"2020/02/27 12:09:23 AM GMT+2","8","8","8","7","7","7","8","7","9","8","9","10","6","6","9","10","10","7","Yes"
"2020/02/27 12:11:19 AM GMT+2","7","8","8","7","7","8","7","9","10","8","8","","","","8","9","8","4","Yes"
"2020/02/27 12:12:32 AM GMT+2","6","7","7","6","6","5","5","7","8","7","6","6","6","6","7","8","7","6","Yes"
"2020/02/27 12:15:20 AM GMT+2","7","8","7","5","6","7","6","7","10","7","7","6","5","5","8","8","8","6","Yes"
"2020/02/27 12:15:23 AM GMT+2","8","9","8","7","7","8","7","7","10","9","8","7","6","7","8","9","8","5","Yes"
