"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan Bissaka","Fred","McTominay","Rashford","Bruno Fernandes","Daniel James","Martial","Pogba (optional)","Greenwood (optional)","Team Performance","Final Result","Ole","Spurs","Did the ref do a good job?"
"2020/06/21 5:35:14 PM GMT+2","4","6","5","6","6","6","7","5","7","3","3","8","8","5","5","8","6","No"
"2020/06/21 5:35:44 PM GMT+2","5","6","6","6","6","6","6","6","7","5","5","7","6","6","6","6","4","No"
"2020/06/21 5:36:34 PM GMT+2","4","5","4","6","6","6","5","6","8","4","5","8","7","7","4","8","5","No"
"2020/06/21 5:37:46 PM GMT+2","4","5","5","6","6","5","5","5","7","4","5","7","7","5","5","6","6","No"
"2020/06/21 5:38:28 PM GMT+2","5","4","4","6","4","4","6","5","7","2","4","8","6","6","5","7","6","No"
"2020/06/21 5:38:35 PM GMT+2","4","5","7","6","6","6","7","7","9","5","6","8","8","7","3","8","8","No"
"2020/06/21 5:39:25 PM GMT+2","5","6","5","5","6","6","7","7","7","6","5","7","6","6","6","6","5","No"
"2020/06/21 5:40:23 PM GMT+2","5","6","7","6","4","8","7","5","9","4","6","7","8","7","6","8","6","No"
"2020/06/21 5:40:31 PM GMT+2","4","7","5","6","5","6","6","5","7","3","7","8","8","6","5","6","4","No"
"2020/06/21 5:40:42 PM GMT+2","5","7","5","6","6","5","6","5","7","5","6","8","7","5","6","5","4","No"
"2020/06/21 5:40:46 PM GMT+2","4","5","3","6","5","5","6","4","6","4","3","8","6","6","5","5","4","No"
"2020/06/21 5:41:24 PM GMT+2","1","5","7","6","4","2","7","5","8","3","7","10","9","7","5","7","6","No"
"2020/06/21 5:41:44 PM GMT+2","6","9","6","7","7","6","7","7","8","6","6","8","8","8","7","7","8","No"
"2020/06/21 5:41:44 PM GMT+2","3","6","2","4","5","6","6","5","8","4","2","9","7","4","4","5","4","No"
"2020/06/21 5:41:45 PM GMT+2","4","5","6","5","5","4","4","5","6","3","3","7","6","5","4","7","4","No"
"2020/06/21 5:41:49 PM GMT+2","3","6","2","4","5","7","8","5","7","5","3","7","7","6","3","3","6","No"
