"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Fred","Scott McTominay","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Man City","Did the ref/VAR do a good job? (optional) (please be unbiased)"
"2019/12/08 2:50:17 PM GMT+1","10","8","9","9","10","9","10","10","9","9","9","6","10","10","10","3","Yes"
"2019/12/08 2:50:24 PM GMT+1","9","9","9","10","10","10","9","10","9","9","9","7","10","10","10","8","Yes"
"2019/12/08 2:50:56 PM GMT+1","9","8","8","9","10","10","9","9","8","8","8","8","9","8","10","7","Yes"
"2019/12/08 2:52:27 PM GMT+1","10","6","7","7","10","9","9","8","5","8","9","2","8","10","10","7","Yes"
"2019/12/08 2:52:37 PM GMT+1","8","7","9","8","10","8","7","9","7","9","8","","8","10","8","6","Yes"
"2019/12/08 2:53:23 PM GMT+1","9","9","8","9","10","9","9","10","9","9","9","7","10","10","10","5","Yes"
"2019/12/08 2:53:29 PM GMT+1","9","8","8","9","10","10","10","10","9","9","9","8","10","10","10","4","Yes"
"2019/12/08 2:54:03 PM GMT+1","9","9","9","9","10","9","9","10","9","9","9","7","9","10","10","5","Yes"
"2019/12/08 2:54:34 PM GMT+1","9","8","8","8","10","8","8","8","7","7","7","4","9","10","9","8","Yes"
"2019/12/08 2:55:29 PM GMT+1","9","9","8","7","9","9","7","9","7","8","8","6","9","10","8","4","Yes"
"2019/12/08 2:56:04 PM GMT+1","8","8","8","9","10","9","9","9","8","8","8","7","9","10","10","3","Yes"
"2019/12/08 2:56:10 PM GMT+1","9","8","8","9","10","8","8","9","8","8","9","7","8","10","9","7","Yes"
"2019/12/08 2:56:13 PM GMT+1","7","7","8","8","9","9","9","9","8","7","8","6","9","9","9","5","Yes"
"2019/12/08 2:56:57 PM GMT+1","10","8","10","9","10","8","9","9","7","8","9","7","10","10","10","5","Yes"
"2019/12/08 2:57:02 PM GMT+1","8","6","7","8","9","9","9","9","7","7","7","5","9","10","9","6","Yes"
"2019/12/08 2:57:51 PM GMT+1","7","7","6","7","10","8","8","7","6","6","7","","9","9","9","6","Yes"
"2019/12/08 2:58:04 PM GMT+1","9","8","8","8","9","9","8","10","8","8","7","6","9","10","10","7","Yes"
"2019/12/08 2:58:24 PM GMT+1","8","7","8","8","9","9","8","10","7","8","9","7","8","9","8","7","Yes"
"2019/12/08 2:58:51 PM GMT+1","8","8","7","8","10","9","8","9","8","9","8","7","10","10","9","6","Yes"
"2019/12/08 2:58:59 PM GMT+1","8","7","8","9","10","9","9","10","8","8","9","7","9","10","8","7","Yes"
"2019/12/08 2:59:46 PM GMT+1","9","9","9","10","10","10","10","10","8","10","9","","10","10","10","5",""
"2019/12/08 2:59:55 PM GMT+1","7","7","7","8","9","8","8","7","7","7","7","5","10","10","8","5","Yes"
"2019/12/08 3:00:05 PM GMT+1","7","7","8","8","9","9","8","9","8","7","8","6","9","9","9","7","Yes"
"2019/12/08 3:00:09 PM GMT+1","8","7","7","8","10","9","9","10","8","8","8","6","10","10","10","7","Yes"
"2019/12/08 3:00:49 PM GMT+1","7","7","8","8","10","9","9","8","8","7","8","6","9","8","9","6","Yes"
"2019/12/08 3:00:50 PM GMT+1","9","8","8","9","9","10","9","10","8","9","8","8","9","8","10","8","Yes"
"2019/12/08 3:01:00 PM GMT+1","8","8","8","9","10","10","10","10","9","10","9","7","9","10","9","5","Yes"
"2019/12/08 3:01:45 PM GMT+1","7","7","8","7","10","9","8","9","7","8","8","7","10","10","8","5","Yes"
"2019/12/08 3:03:54 PM GMT+1","8","7","8","8","10","9","8","9","7","8","8","","10","10","10","1","Yes"
"2019/12/08 3:04:46 PM GMT+1","8","7","8","8","10","9","8","8","7","7","8","7","10","10","8","4","Yes"
"2019/12/08 3:05:16 PM GMT+1","8","8","8","8","9","9","8","9","8","9","8","6","9","8","8","5","Yes"
"2019/12/08 3:06:03 PM GMT+1","8","8","8","9","10","9","8","9","7","8","8","4","9","9","9","5","Yes"
"2019/12/08 3:06:09 PM GMT+1","8","7","7","8","9","9","9","9","7","7","7","6","10","10","10","6","Yes"
"2019/12/08 3:06:32 PM GMT+1","9","8","8","9","10","10","10","10","9","9","10","7","10","10","10","3","Yes"
"2019/12/08 3:07:23 PM GMT+1","7","8","8","8","9","9","9","8","8","8","8","5","10","10","10","3","Yes"
"2019/12/08 3:07:24 PM GMT+1","8","8","9","9","9","9","8","8","8","8","9","7","9","10","9","5","Yes"
"2019/12/08 3:08:26 PM GMT+1","8","7","8","8","9","8","8","8","8","8","8","5","9","10","9","6","Yes"
"2019/12/08 3:08:34 PM GMT+1","8","8","7","8","10","9","9","8","8","9","8","","9","10","9","6","Yes"
"2019/12/08 3:08:43 PM GMT+1","7","7","8","8","9","9","7","8","7","7","8","","9","10","10","6","Yes"
"2019/12/08 3:09:46 PM GMT+1","9","7","5","6","10","9","9","9","7","7","7","4","8","10","8","7","Yes"
"2019/12/08 3:10:01 PM GMT+1","8","8","8","9","10","9","9","9","8","8","9","8","10","8","10","3","Yes"
"2019/12/08 3:10:12 PM GMT+1","9","8","8","9","10","9","8","10","8","8","9","8","9","9","9","3","Yes"
"2019/12/08 3:10:25 PM GMT+1","8","8","8","7","9","8","8","8","8","9","9","7","9","10","10","7","Yes"
"2019/12/08 3:10:44 PM GMT+1","8","8","8","8","9","9","8","8","8","8","8","5","10","10","9","6","Yes"
"2019/12/08 3:11:26 PM GMT+1","7","7","7","8","9","8","8","9","8","7","7","6","8","9","9","5","Yes"
"2019/12/08 3:12:02 PM GMT+1","10","10","10","10","10","10","10","9","9","9","9","7","10","10","10","6","Yes"
"2019/12/08 3:12:30 PM GMT+1","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","Yes"
"2019/12/08 3:13:55 PM GMT+1","8","7","7","8","8","8","7","9","7","7","8","","8","10","7","4","Yes"
