"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Ashley Young (in for Shaw)","Mason Greenwood (in for Lingard)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Crystal Palace (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/25 7:50:49 PM GMT+1","3","3","6","3","7","4","5","5","1","5","5","1","2","2","1","3","2","No"
"2019/08/25 7:52:03 PM GMT+1","4","4","6","6","7","5","7","4","1","6","6","5","6","3","1","2","6","No"
"2019/08/25 7:53:37 PM GMT+1","4","4","5","6","7","6","5","5","5","7","6","6","6","4","2","5","6","No"
"2019/08/25 7:53:44 PM GMT+1","4","5","6","5","5","5","6","4","2","6","6","5","3","4","3","3","1","No"
"2019/08/25 7:54:59 PM GMT+1","6","6","7","6","7","5","7","6","5","7","6","7","6","5","4","6","8","No"
"2019/08/25 7:55:31 PM GMT+1","5","5","7","6","7","7","7","6","6","7","7","6","5","6","1","7","8","No"
"2019/08/25 7:59:48 PM GMT+1","2","6","6","2","8","7","8","4","2","8","8","7","5","3","1","8","4","No"
"2019/08/25 8:01:52 PM GMT+1","5","2","7","4","7","5","8","5","5","7","7","5","5","5","3","5","5","No"
"2019/08/25 8:02:05 PM GMT+1","4","5","5","5","5","5","6","5","1","6","6","5","4","5","1","5","7","No"
"2019/08/25 8:02:27 PM GMT+1","4","5","7","4","5","7","10","7","5","8","8","6","5","4","1","7","1","No"
"2019/08/25 8:03:57 PM GMT+1","3","6","6","5","6","6","6","5","5","7","7","6","6","6","1","6","4","No"
"2019/08/25 8:04:33 PM GMT+1","5","6","6","5","7","7","7","6","6","8","6","6","5","5","4","5","6","No"
"2019/08/25 8:05:50 PM GMT+1","4","5","5","5","7","5","6","7","3","5","7","5","4","4","4","4","5","No"
"2019/08/25 8:06:50 PM GMT+1","4","6","8","4","8","6","9","6","5","7","7","7","4","6","4","6","5","No"
"2019/08/25 8:06:51 PM GMT+1","4","4","5","4","6","7","8","5","3","7","5","7","2","5","1","5","2","No"
"2019/08/25 8:07:42 PM GMT+1","5","6","8","6","5","6","5","4","2","7","7","1","3","4","3","8","5","No"
"2019/08/25 8:07:47 PM GMT+1","4","6","5","4","6","5","6","5","3","6","6","5","5","4","1","3","7","No"
"2019/08/25 8:07:52 PM GMT+1","4","4","6","5","6","5","5","3","3","4","3","1","6","3","1","2","4","No"
"2019/08/25 8:10:21 PM GMT+1","3","6","6","4","7","4","5","4","2","7","7","5","5","4","1","4","5","No"
"2019/08/25 8:11:39 PM GMT+1","3","3","7","4","7","5","8","5","2","5","6","6","5","3","1","3","5","No"
"2019/08/25 8:11:46 PM GMT+1","5","6","7","5","8","7","6","5","6","8","7","6","4","7","1","6","4","No"
"2019/08/25 8:12:09 PM GMT+1","4","6","5","5","6","6","7","6","5","7","7","6","5","5","4","5","7","No"
"2019/08/25 8:13:12 PM GMT+1","3","5","6","4","7","5","6","7","3","7","6","5","3","4","1","4","4","No"
"2019/08/25 8:14:04 PM GMT+1","4","5","5","5","6","5","5","4","5","6","6","6","5","4","3","5","6","No"
"2019/08/25 8:14:37 PM GMT+1","5","6","3","1","6","6","6","6","3","8","6","6","2","4","2","3","3","No"
"2019/08/25 8:14:44 PM GMT+1","5","5","7","7","8","7","9","8","7","8","9","7","3","5","2","6","6","No"
"2019/08/25 8:14:52 PM GMT+1","6","4","5","4","6","6","7","6","5","6","5","5","4","7","3","5","5","No"
"2019/08/25 8:15:22 PM GMT+1","5","6","5","3","6","6","6","2","1","6","5","5","5","2","1","3","8","No"
"2019/08/25 8:17:16 PM GMT+1","5","6","5","4","6","6","5","5","4","7","6","3","5","4","1","1","4","No"
"2019/08/25 8:18:26 PM GMT+1","5","7","7","6","8","6","8","5","5","8","7","7","6","5","1","7","5","No"
"2019/08/25 8:19:42 PM GMT+1","3","4","6","4","8","5","7","6","1","6","7","1","3","5","1","1","6","No"
"2019/08/25 8:21:47 PM GMT+1","4","4","5","5","6","6","6","5","3","6","6","7","5","3","2","4","6","No"
"2019/08/25 8:22:29 PM GMT+1","3","6","5","5","6","4","4","5","3","6","6","5","4","4","7","2","7","No"
"2019/08/25 8:22:51 PM GMT+1","6","6","7","6","8","7","8","6","6","8","7","6","6","6","3","7","5","No"
"2019/08/25 8:22:51 PM GMT+1","4","4","6","5","7","7","8","5","4","6","6","5","6","4","2","4","6","No"
"2019/08/25 8:24:31 PM GMT+1","4","6","6","5","7","6","8","8","7","8","9","7","5","8","1","7","2","No"
"2019/08/25 8:24:42 PM GMT+1","7","5","6","6","7","8","8","6","4","9","8","7","5","8","1","7","2","No"
"2019/08/25 8:28:05 PM GMT+1","3","1","3","3","4","2","5","1","1","3","3","2","1","3","1","2","5","No"
"2019/08/25 8:28:34 PM GMT+1","4","5","5","4","7","4","5","4","2","7","5","6","4","4","1","3","8","No"
"2019/08/25 8:29:18 PM GMT+1","4","5","6","5","6","6","8","6","4","8","8","5","5","6","2","6","5","No"
"2019/08/25 8:29:36 PM GMT+1","3","4","3","4","6","6","6","6","5","7","6","4","5","5","1","3","7","No"
"2019/08/25 8:30:17 PM GMT+1","4","6","5","4","5","5","6","4","2","5","5","5","4","5","1","3","7","No"
"2019/08/25 8:30:55 PM GMT+1","5","5","6","4","7","5","6","4","1","6","8","7","4","5","2","7","4","No"
"2019/08/25 8:31:33 PM GMT+1","1","2","2","1","4","3","1","1","1","2","3","1","2","1","1","1","6","Yes"
"2019/08/25 8:31:50 PM GMT+1","5","5","6","5","5","5","5","5","3","6","6","5","4","5","2","3","6","No"
"2019/08/25 8:32:19 PM GMT+1","3","5","6","4","6","6","6","6","3","7","6","6","4","6","2","6","6","No"
"2019/08/25 8:32:42 PM GMT+1","1","3","1","1","3","2","4","3","1","3","2","3","1","1","1","1","7","No"
"2019/08/25 8:33:09 PM GMT+1","4","7","6","5","7","5","5","2","4","6","6","5","5","5","5","4","6","No"
"2019/08/25 8:33:14 PM GMT+1","3","5","5","4","6","4","6","6","5","7","5","5","4","5","4","6","8","No"
"2019/08/25 8:33:31 PM GMT+1","3","3","4","4","5","5","6","2","1","7","7","7","2","4","1","4","5","No"
"2019/08/25 8:33:37 PM GMT+1","2","5","6","4","7","5","6","4","2","6","5","5","3","4","1","4","4","No"
"2019/08/25 8:33:52 PM GMT+1","4","5","5","4","5","5","6","4","2","7","7","6","4","3","1","4","4","No"
