"Timestamp","David de Gea","Luke Shaw","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Nemanja Matic","Fred","Marcus Rashford","Jesse Lingard","Daniel James","Anthony Martial","Mason Greenwood (optional)","Andreas Pereira (optional)","Team Performance","Final Result","Ole","Arsenal","Did the ref/VAR do a good job? (optional) be unbiased please"
"2020/01/02 9:33:49 PM GMT+1","5","2","2","3","3","4","6","2","2","2","2","2","6","1","1","5","8","Yes"
"2020/01/02 9:33:58 PM GMT+1","6","4","3","5","6","5","7","6","2","5","7","6","7","2","1","3","8","Yes"
"2020/01/02 9:33:59 PM GMT+1","6","2","4","4","6","6","5","5","2","5","7","","","4","2","8","7","Yes"
"2020/01/02 9:34:21 PM GMT+1","5","5","5","5","6","6","6","5","4","5","6","6","6","4","3","4","8","Yes"
"2020/01/02 9:34:27 PM GMT+1","3","2","4","4","6","6","6","4","1","5","6","","","2","2","1","9","No"
"2020/01/02 9:34:32 PM GMT+1","3","3","1","7","9","7","3","5","4","5","6","6","1","1","3","3","6","No"
"2020/01/02 9:34:39 PM GMT+1","5","2","4","5","5","5","7","4","1","5","6","5","5","2","3","4","8","Yes"
"2020/01/02 9:34:42 PM GMT+1","3","3","3","4","4","6","8","3","2","3","5","5","6","2","2","2","7","Yes"
"2020/01/02 9:34:53 PM GMT+1","4","4","5","5","5","4","5","5","3","5","5","6","6","4","2","5","6","Yes"
"2020/01/02 9:35:02 PM GMT+1","5","4","4","5","6","6","7","3","2","4","7","4","6","3","1","2","7","Yes"
"2020/01/02 9:35:05 PM GMT+1","5","4","5","4","5","4","4","4","3","4","4","4","5","4","1","2","9","Yes"
"2020/01/02 9:35:26 PM GMT+1","6","3","6","6","6","6","8","5","1","4","6","5","5","2","2","1","6","Yes"
"2020/01/02 9:35:50 PM GMT+1","2","6","6","4","5","7","6","4","3","5","6","","","3","1","4","9",""
"2020/01/02 9:35:58 PM GMT+1","4","3","2","2","5","3","7","4","1","3","4","5","6","3","2","1","6","Yes"
"2020/01/02 9:36:59 PM GMT+1","4","3","2","2","5","5","7","3","2","2","6","5","6","3","3","3","7","Yes"
"2020/01/02 9:37:15 PM GMT+1","4","5","5","5","6","4","4","6","5","5","6","","","4","1","4","7",""
"2020/01/02 9:37:19 PM GMT+1","5","1","2","4","3","3","7","3","2","3","2","3","4","3","3","3","8","Yes"
"2020/01/02 9:37:34 PM GMT+1","4","1","3","4","5","4","5","4","2","4","5","6","5","2","1","3","6",""
"2020/01/02 9:38:44 PM GMT+1","6","3","5","4","5","5","7","4","2","3","7","5","6","3","3","4","8","Yes"
"2020/01/02 9:38:56 PM GMT+1","6","6","5","7","6","6","8","5","5","6","7","7","7","5","3","6","8","No"
"2020/01/02 9:39:16 PM GMT+1","6","5","5","5","6","6","7","5","3","5","4","","","4","1","5","8","Yes"
"2020/01/02 9:39:59 PM GMT+1","1","1","3","3","4","1","4","3","2","2","2","2","2","2","1","1","8","Yes"
