"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Matic","McTominay","Bruno Fernandes","Greenwood","Martial","Ighalo (optional)","Mata (optional)","Team Performance","Final Result","Ole","Everton","Did the ref do a good job?"
"2020/03/02 7:10:58 PM GMT+2","4","6","9","7","6","7","8","7","8","5","4","5","5","8","6","8","8","No"
"2020/03/02 7:15:43 PM GMT+2","7","7","8","7","7","7","7","7","8","6","6","6","6","7","5","9","7","No"
"2020/03/02 7:15:54 PM GMT+2","2","7","8","4","5","6","6","6","7","5","5","5","5","5","6","5","6","No"
"2020/03/02 7:19:08 PM GMT+2","4","6","7","5","6","8","5","6","9","6","5","","","5","4","5","5","No"
"2020/03/02 7:20:43 PM GMT+2","5","6","8","5","6","6","6","6","7","6","6","6","6","6","5","7","6","No"
"2020/03/02 7:21:17 PM GMT+2","5","4","9","4","5","7","7","5","8","6","3","","","5","5","7","8","No"
"2020/03/02 7:21:52 PM GMT+2","5","6","8","7","6","7","8","6","9","5","5","6","5","7","4","6","7","No"
"2020/03/02 7:22:50 PM GMT+2","4","6","7","7","9","8","8","8","10","6","5","10","6","4","3","6","8","No"
"2020/03/02 7:23:00 PM GMT+2","6","6","8","5","6","7","7","7","8","5","5","5","4","5","3","7","9","No"
"2020/03/02 7:24:30 PM GMT+2","6","7","8","6","7","7","8","7","8","5","5","","","6","5","7","7","No"
"2020/03/02 7:24:43 PM GMT+2","1","7","6","5","6","7","6","5","8","6","6","5","6","7","6","7","8","No"
"2020/03/02 7:26:21 PM GMT+2","4","5","7","6","6","8","6","6","7","5","5","5","5","6","5","7","6","Yes"
"2020/03/02 7:27:20 PM GMT+2","4","6","9","6","7","7","8","8","8","6","5","6","6","6","3","5","5","No"
"2020/03/02 7:27:36 PM GMT+2","5","7","9","4","6","8","6","6","8","6","7","","","6","5","7","5","No"
"2020/03/02 7:27:43 PM GMT+2","5","7","8","6","7","7","7","7","9","6","5","6","6","6","4","5","6","No"
"2020/03/02 7:29:24 PM GMT+2","4","4","8","6","8","6","5","6","7","5","5","6","6","6","3","6","6","No"
"2020/03/02 7:29:45 PM GMT+2","4","6","8","7","7","8","7","6","8","7","6","7","7","6","5","5","7","No"
"2020/03/02 7:31:05 PM GMT+2","4","5","8","5","6","6","6","5","7","5","5","","","6","3","5","6","No"
"2020/03/02 7:32:54 PM GMT+2","4","7","9","6","6","7","8","7","9","7","6","7","6","7","6","7","8","No"
"2020/03/02 7:34:03 PM GMT+2","5","7","10","8","7","8","7","7","9","7","6","6","6","6","5","7","7","Yes"
"2020/03/02 7:35:21 PM GMT+2","6","7","9","7","7","7","8","6","9","6","6","10","6","7","6","6","7","No"
"2020/03/02 7:41:54 PM GMT+2","5","7","8","5","6","7","7","8","9","4","4","","","5","5","4","8","Yes"
"2020/03/02 7:42:11 PM GMT+2","4","7","9","6","7","8","8","7","8","7","6","7","6","7","4","7","6","No"
"2020/03/02 7:43:16 PM GMT+2","3","7","7","7","7","6","7","4","8","5","3","7","6","6","3","8","5","No"
"2020/03/02 7:43:26 PM GMT+2","3","8","10","5","5","6","9","8","9","5","5","6","5","5","5","8","8","No"
"2020/03/02 7:44:50 PM GMT+2","6","8","8","5","5","7","6","7","8","4","2","","","4","5","1","7","No"
"2020/03/02 7:44:59 PM GMT+2","5","6","7","7","6","7","7","6","8","6","5","6","6","7","5","6","6","No"
"2020/03/02 7:45:57 PM GMT+2","3","8","9","7","7","7","7","6","9","5","5","","","5","3","8","8","No"
"2020/03/02 7:46:04 PM GMT+2","4","7","8","6","6","7","8","6","7","6","6","6","6","6","5","7","6","No"
"2020/03/02 7:48:44 PM GMT+2","4","6","6","6","6","6","6","6","8","6","6","7","","4","3","6","6","No"
"2020/03/02 7:49:17 PM GMT+2","6","8","9","8","8","8","7","7","9","6","6","7","7","8","5","8","8","No"
"2020/03/02 7:52:18 PM GMT+2","5","7","9","5","6","8","8","5","9","4","4","5","5","7","6","7","8","No"
"2020/03/02 7:53:07 PM GMT+2","5","9","10","8","8","8","8","7","9","7","6","7","7","7","5","10","7","No"
"2020/03/02 7:54:40 PM GMT+2","4","8","9","7","7","7","7","6","8","5","5","6","","4","3","5","7","No"
"2020/03/02 7:54:46 PM GMT+2","3","6","9","6","6","8","10","7","10","7","6","8","7","8","6","8","8","No"
"2020/03/02 7:55:23 PM GMT+2","5","6","7","6","5","7","7","6","8","5","5","6","6","5","3","6","6","No"
"2020/03/02 7:55:37 PM GMT+2","5","7","9","7","7","7","8","7","10","6","5","5","5","7","5","6","7","Yes"
"2020/03/02 7:57:18 PM GMT+2","3","7","8","6","7","8","8","7","8","7","6","7","7","7","6","7","8","No"
"2020/03/02 7:57:34 PM GMT+2","6","7","8","8","8","8","7","7","10","6","6","6","6","7","7","8","8","No"
"2020/03/02 7:59:10 PM GMT+2","1","7","8","5","5","2","6","8","9","7","5","7","7","6","2","5","5","Yes"
"2020/03/02 8:04:44 PM GMT+2","1","6","8","6","7","6","7","7","6","4","4","4","5","6","6","7","1","Yes"
