"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Bruno","Rashford","Greenwood","Martial","Fred","Williams (you are free not to vote)","Team Performance","Final Result","Ole","Southampton","Did the ref do a good job?"
"2020/07/14 8:22:25 PM GMT+2","6","7","7","8","6","6","6","7","8","6","8","6","10","7","4","8","9","No"
"2020/07/14 8:23:08 PM GMT+2","7","8","5","8","6","6","6","6","7","6","8","6","","6","5","6","7","No"
"2020/07/14 8:24:10 PM GMT+2","8","9","8","8","6","4","7","6","7","6","8","7","8","6","3","6","9","No"
"2020/07/14 8:24:13 PM GMT+2","6","8","6","7","7","6","7","6","7","6","9","6","","6","5","6","7","No"
"2020/07/14 8:24:26 PM GMT+2","7","8","5","7","7","6","8","7","8","6","10","","","7","4","8","6","No"
"2020/07/14 8:24:42 PM GMT+2","7","8","6","8","6","6","7","7","8","6","9","7","7","6","5","7","8","No"
"2020/07/14 8:25:50 PM GMT+2","7","9","7","7","7","6","7","7","9","5","9","7","","7","5","8","9","No"
"2020/07/14 8:27:11 PM GMT+2","8","8","7","7","6","6","6","6","7","5","9","6","7","6","4","5","9","No"
"2020/07/14 8:27:43 PM GMT+2","6","6","3","6","5","4","6","6","6","5","7","6","6","6","5","7","9","No"
"2020/07/14 8:28:28 PM GMT+2","6","8","7","6","6","5","6","3","7","5","7","5","6","6","6","6","6","No"
"2020/07/14 8:28:38 PM GMT+2","6","8","6","7","6","6","5","7","7","5","9","6","","5","3","6","8","No"
"2020/07/14 8:29:00 PM GMT+2","8","8","5","7","6","7","7","6","7","5","8","5","","5","1","3","8","No"
"2020/07/14 8:29:05 PM GMT+2","6","8","6","8","5","5","6","6","6","2","9","4","10","6","3","4","8","No"
"2020/07/14 8:29:31 PM GMT+2","6","7","5","5","3","4","4","5","6","5","9","6","6","4","3","5","9","No"
"2020/07/14 8:29:50 PM GMT+2","6","7","5","6","6","6","5","7","7","6","9","4","4","5","5","4","7","Yes"
"2020/07/14 8:30:33 PM GMT+2","4","7","5","9","3","6","4","5","7","6","9","4","","4","3","2","8","No"
"2020/07/14 8:30:37 PM GMT+2","6","7","6","6","5","5","6","6","7","6","8","6","","6","5","6","8","Yes"
"2020/07/14 8:30:42 PM GMT+2","8","10","7","8","8","6","8","4","8","7","8","5","5","6","1","10","8","No"
"2020/07/14 8:31:24 PM GMT+2","6","7","2","8","3","5","6","5","7","5","8","4","","4","3","4","7","No"
"2020/07/14 8:31:49 PM GMT+2","6","5","4","7","5","4","6","4","5","4","8","4","10","4","1","5","7","No"
"2020/07/14 8:31:57 PM GMT+2","5","7","4","7","7","5","7","7","6","5","7","4","","5","3","3","8","No"
"2020/07/14 8:32:19 PM GMT+2","6","7","6","7","5","6","6","7","8","6","8","5","","5","6","6","8","No"
"2020/07/14 8:32:26 PM GMT+2","6","8","6","7","5","6","6","6","7","5","9","5","","6","6","7","8","No"
"2020/07/14 8:32:30 PM GMT+2","8","8","2","7","5","4","5","7","8","5","8","4","8","4","1","7","1","No"
"2020/07/14 8:32:43 PM GMT+2","5","7","6","6","5","5","6","6","7","6","8","6","6","5","4","6","8","No"
"2020/07/14 8:32:48 PM GMT+2","7","8","6","8","6","5","6","6","8","6","9","7","","6","5","6","8","No"
"2020/07/14 8:33:43 PM GMT+2","4","7","5","6","5","5","7","4","7","5","8","6","","5","5","5","6","No"
"2020/07/14 8:34:31 PM GMT+2","7","8","7","9","5","6","6","6","8","6","8","6","6","6","3","5","7","No"
"2020/07/14 8:35:00 PM GMT+2","6","8","6","7","6","4","5","6","8","6","9","5","6","5","3","2","1","No"
"2020/07/14 8:35:39 PM GMT+2","7","6","4","8","5","5","6","5","8","5","8","6","6","5","3","5","7","No"
"2020/07/14 8:35:40 PM GMT+2","7","7","5","7","5","5","6","6","7","5","8","7","6","6","1","8","4","No"
"2020/07/14 8:36:26 PM GMT+2","7","8","6","7","6","6","6","6","7","5","8","6","","6","6","6","7","No"
"2020/07/14 8:36:39 PM GMT+2","8","7","6","7","7","7","6","7","8","6","8","6","","7","4","5","7","Yes"
"2020/07/14 8:37:22 PM GMT+2","6","6","6","7","7","8","7","8","8","6","8","7","","7","6","8","7","No"
"2020/07/14 8:37:54 PM GMT+2","5","8","6","8","7","7","6","7","8","6","10","6","","6","2","9","8","No"
"2020/07/14 8:38:42 PM GMT+2","7","8","6","6","6","6","7","6","8","6","9","6","","6","5","6","7","No"
