"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Pogba","Matic","Rashford","Bruno","Greenwood","Martial","Pereira","McTominay","Williams","Team Performance","Final Result","Ole","Brighton","Did the ref do a good job?"
"2020/07/01 7:23:17 PM GMT+2","8","8","8","8","8","8","9","7","9","8","7","5","7","7","10","10","10","5","Yes"
"2020/07/01 7:23:36 PM GMT+2","10","10","10","10","10","10","10","7","10","10","7","7","7","8","10","10","10","6","Yes"
"2020/07/01 7:23:36 PM GMT+2","8","8","8","8","8","8","9","8","10","9","8","7","6","7","8","9","9","5","Yes"
"2020/07/01 7:23:49 PM GMT+2","7","8","7","7","8","8","10","6","10","10","7","5","6","7","10","10","10","5","Yes"
"2020/07/01 7:23:55 PM GMT+2","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","5","Yes"
"2020/07/01 7:23:58 PM GMT+2","7","8","8","7","8","7","9","6","9","8","7","5","5","7","9","9","9","7","Yes"
"2020/07/01 7:24:01 PM GMT+2","8","8","7","7","8","9","10","6","10","9","6","","","","8","8","8","7","No"
"2020/07/01 7:24:16 PM GMT+2","8","8","7","7","8","8","9","7","9","9","7","","","","9","9","9","5","Yes"
"2020/07/01 7:25:12 PM GMT+2","8","8","8","7","9","9","10","7","9","9","7","6","6","6","8","8","8","5","Yes"
"2020/07/01 7:25:17 PM GMT+2","9","9","9","9","9","8","10","7","10","10","7","3","3","7","10","9","10","7","Yes"
"2020/07/01 7:25:52 PM GMT+2","9","10","8","8","9","9","9","7","10","10","7","7","7","8","10","10","10","5","Yes"
"2020/07/01 7:26:00 PM GMT+2","9","7","7","7","7","8","9","6","10","9","7","5","6","8","9","10","10","4","Yes"
"2020/07/01 7:26:02 PM GMT+2","8","8","8","8","8","9","9","6","9","9","8","6","6","7","9","10","9","5","Yes"
"2020/07/01 7:26:08 PM GMT+2","9","8","9","8","9","8","10","6","10","9","7","3","7","8","10","9","9","4","Yes"
"2020/07/01 7:26:32 PM GMT+2","8","9","8","8","8","8","9","6","9","9","6","4","","","8","10","9","3","Yes"
"2020/07/01 7:26:44 PM GMT+2","8","7","8","7","8","8","9","7","8","9","6","5","7","8","8","10","9","5","No"
"2020/07/01 7:27:11 PM GMT+2","7","7","8","8","8","9","9","7","9","9","8","7","7","8","8","7","8","4","Yes"
"2020/07/01 7:27:15 PM GMT+2","7","7","7","7","7","7","8","6","9","8","7","6","6","7","8","9","9","5","No"
"2020/07/01 7:27:45 PM GMT+2","9","9","9","9","9","9","9","8","9","9","9","7","8","8","10","10","10","5","Yes"
"2020/07/01 7:28:48 PM GMT+2","7","7","7","7","7","8","8","6","9","9","6","7","7","7","9","9","9","4","Yes"
"2020/07/01 7:29:06 PM GMT+2","7","8","7","8","7","8","9","6","9","9","6","6","6","7","10","9","9","6","Yes"
"2020/07/01 7:29:12 PM GMT+2","7","7","6","6","6","8","8","5","8","9","5","4","5","5","9","8","10","4","Yes"
"2020/07/01 7:29:14 PM GMT+2","8","8","8","7","9","9","10","7","10","10","8","5","6","7","10","10","10","5",""
"2020/07/01 7:29:20 PM GMT+2","7","8","8","7","8","8","9","5","9","9","7","5","5","5","9","10","9","6","Yes"
"2020/07/01 7:29:33 PM GMT+2","9","8","8","8","10","10","10","7","10","10","7","","","","10","10","10","4",""
"2020/07/01 7:30:02 PM GMT+2","8","8","8","7","8","9","9","7","10","10","7","6","7","8","9","9","10","7","No"
"2020/07/01 7:30:10 PM GMT+2","8","8","8","7","9","8","8","7","10","9","6","5","6","6","9","10","10","5","Yes"
"2020/07/01 7:30:58 PM GMT+2","7","8","8","6","8","7","10","6","9","10","6","6","6","7","9","10","10","5","Yes"
"2020/07/01 7:31:12 PM GMT+2","8","8","7","7","7","8","10","7","10","9","7","1","6","7","9","10","10","5","Yes"
"2020/07/01 7:32:25 PM GMT+2","8","8","8","8","8","9","10","6","10","10","6","6","6","7","8","8","10","5","Yes"
"2020/07/01 7:32:47 PM GMT+2","7","7","8","8","8","8","9","6","9","9","7","6","6","7","8","8","8","4","Yes"
"2020/07/01 7:34:05 PM GMT+2","8","8","8","7","8","9","10","7","10","10","8","6","6","8","9","8","9","4","Yes"
"2020/07/01 7:34:05 PM GMT+2","9","9","9","8","9","9","10","8","10","10","8","6","7","9","10","10","10","7","Yes"
"2020/07/01 7:34:33 PM GMT+2","7","8","8","7","8","8","9","6","8","9","8","7","6","6","9","9","9","6","Yes"
"2020/07/01 7:35:15 PM GMT+2","7","9","8","8","8","9","9","7","9","8","7","5","6","8","9","9","9","6","Yes"
