"Timestamp","De Gea","Williams","Maguire","Jones","AWB","Matic","Fred","James","Pereira","Mata","Martial","Greenwood (optional)","Lingard (optional)","Shaw (optional)","Team Performance","Final Result","Ole","Burnley","Did the ref do a good job? (optional)","Did VAR do a good job? (optional)"
"2020/01/25 1:41:29 PM GMT+1","2","5","4","4","7","5","6","3","2","3","3","3","3","5","1","1","1","9","Yes","Yes"
"2020/01/25 1:41:49 PM GMT+1","5","6","5","6","7","6","7","5","4","5","3","4","","","3","3","6","7","No","No"
"2020/01/25 1:42:15 PM GMT+1","5","5","4","5","7","6","5","5","3","4","4","5","5","7","4","1","1","6","",""
"2020/01/25 1:42:40 PM GMT+1","3","4","3","4","4","4","4","3","1","3","2","2","1","2","1","1","2","7","",""
"2020/01/25 1:43:04 PM GMT+1","4","5","4","4","5","4","4","3","1","3","2","","3","1","1","2","3","4","Yes","Yes"
"2020/01/25 1:43:44 PM GMT+1","6","6","4","6","6","6","6","3","3","5","2","6","5","5","2","1","4","7","Yes","Yes"
"2020/01/25 1:43:58 PM GMT+1","6","6","6","3","6","5","5","3","5","4","3","4","2","5","3","2","2","7","Yes","Yes"
"2020/01/25 1:51:03 PM GMT+1","3","3","2","3","4","3","6","2","2","3","2","","","","2","1","5","4","Yes","Yes"
"2020/01/25 1:51:53 PM GMT+1","5","5","4","6","6","5","5","4","3","5","3","5","4","6","3","2","2","7","Yes","Yes"
"2020/01/25 1:52:07 PM GMT+1","6","6","3","5","4","6","6","5","4","5","5","5","4","5","1","1","2","6","Yes","Yes"
"2020/01/25 1:53:48 PM GMT+1","5","6","5","6","6","6","5","4","1","3","4","5","2","4","4","2","3","5","No","No"
"2020/01/25 1:59:21 PM GMT+1","6","7","4","5","8","5","7","6","2","4","4","6","","","2","2","3","4","Yes","Yes"
"2020/01/25 2:03:04 PM GMT+1","3","5","5","3","4","3","5","5","3","4","3","4","1","1","1","1","1","7","Yes","Yes"
"2020/01/25 2:03:34 PM GMT+1","5","6","3","3","4","4","4","4","2","1","2","3","2","3","1","1","3","6","Yes","Yes"
"2020/01/25 2:03:40 PM GMT+1","6","6","4","5","7","6","6","4","4","4","4","5","5","5","2","1","3","6","Yes","Yes"
"2020/01/25 2:05:47 PM GMT+1","5","6","5","7","6","6","5","5","4","5","4","5","4","5","5","3","4","7","Yes","Yes"
