"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","McTominay","Rashford","Pereira","Greenwood","Martial","Pogba (optional)","Lingard (optional)","Mata (optional)","Team Performance","Final Result","Ole","Newcastle","Did the ref/VAR do a good job? "
"2019/12/27 2:50:47 PM GMT+1","6","6","8","6","7","8","6","7","6","8","9","6","4","5","7","8","8","3","Yes"
"2019/12/27 2:51:57 PM GMT+1","7","7","8","7","7","7","6","7","7","8","9","8","","","8","7","7","3","No"
"2019/12/27 2:52:59 PM GMT+1","8","7","7","7","7","9","6","7","8","8","8","8","6","6","7","9","8","5","Yes"
"2019/12/27 2:52:59 PM GMT+1","6","6","7","6","7","7","7","7","7","8","9","7","5","6","9","9","7","6","No"
"2019/12/27 2:53:11 PM GMT+1","6","7","8","7","8","9","7","8","7","8","10","7","5","5","7","9","7","2","No"
"2019/12/27 2:53:44 PM GMT+1","6","7","7","7","8","8","8","7","7","7","8","6","7","7","8","8","8","6","Yes"
"2019/12/27 2:54:01 PM GMT+1","6","7","8","6","8","7","6","7","6","8","8","8","6","6","8","9","9","3","Yes"
"2019/12/27 2:54:01 PM GMT+1","7","7","8","8","7","9","7","8","7","8","9","8","6","5","7","8","8","8","No"
"2019/12/27 2:54:21 PM GMT+1","6","6","6","6","6","7","6","7","6","7","8","7","6","6","8","8","7","5","No"
"2019/12/27 2:55:30 PM GMT+1","6","6","8","7","8","8","7","9","7","9","10","9","6","7","8","10","8","5","Yes"
"2019/12/27 2:55:50 PM GMT+1","7","8","8","8","8","8","8","7","5","8","8","7","6","6","8","10","10","7","Yes"
"2019/12/27 2:57:11 PM GMT+1","6","6","7","7","8","7","7","9","7","9","9","8","5","4","9","8","7","4","No"
"2019/12/27 2:57:54 PM GMT+1","6","7","9","7","8","9","8","8","7","10","10","8","6","6","10","10","8","3","Yes"
"2019/12/27 2:58:18 PM GMT+1","6","6","7","7","8","7","7","7","6","8","7","7","6","","7","10","8","5","Yes"
"2019/12/27 2:58:23 PM GMT+1","8","8","8","7","9","8","6","8","7","9","9","7","","","9","9","8","4","Yes"
"2019/12/27 2:59:02 PM GMT+1","6","6","7","6","8","7","5","7","6","7","9","8","6","6","7","9","7","3","Yes"
"2019/12/27 2:59:05 PM GMT+1","5","1","6","4","6","6","3","6","2","9","7","10","1","1","6","7","1","3","Yes"
"2019/12/27 2:59:18 PM GMT+1","6","5","8","7","8","9","6","6","6","7","9","8","5","5","8","9","9","4","Yes"
"2019/12/27 3:00:28 PM GMT+1","6","7","7","6","8","9","7","7","8","8","9","8","7","7","8","7","8","3","Yes"
"2019/12/27 3:00:32 PM GMT+1","6","5","7","6","8","8","6","9","6","9","9","8","6","5","7","8","8","2","Yes"
"2019/12/27 3:00:44 PM GMT+1","8","8","8","8","9","9","7","7","7","8","9","7","7","7","8","9","9","6","Yes"
"2019/12/27 3:02:37 PM GMT+1","7","6","8","8","8","8","7","7","7","8","9","7","6","5","8","9","8","4","Yes"
"2019/12/27 3:02:42 PM GMT+1","8","8","7","8","9","8","6","9","7","9","9","9","7","7","8","9","8","6","Yes"
"2019/12/27 3:03:00 PM GMT+1","6","5","6","5","7","7","6","8","7","8","9","6","6","6","8","9","7","3","Yes"
"2019/12/27 3:05:25 PM GMT+1","6","5","7","6","8","7","4","8","7","9","9","7","5","5","8","8","8","1","Yes"
"2019/12/27 3:05:56 PM GMT+1","6","7","8","8","8","7","6","8","7","9","9","8","6","6","8","8","8","6","Yes"
"2019/12/27 3:06:23 PM GMT+1","8","7","9","8","9","8","6","8","7","8","9","8","8","","9","9","9","2",""
"2019/12/27 3:07:28 PM GMT+1","5","7","8","7","8","9","6","8","6","9","10","10","4","7","10","10","10","4","Yes"
"2019/12/27 3:07:50 PM GMT+1","6","6","7","6","8","7","5","8","7","9","9","7","4","5","8","9","7","3","Yes"
"2019/12/27 3:08:10 PM GMT+1","6","6","7","6","7","7","6","7","7","7","8","7","4","6","7","8","8","4",""
"2019/12/27 3:08:59 PM GMT+1","6","7","8","6","7","6","5","6","6","8","9","7","5","","6","8","6","10","No"
"2019/12/27 3:09:45 PM GMT+1","7","7","7","6","7","7","6","7","7","7","8","7","6","6","6","8","7","2","Yes"
"2019/12/27 3:10:24 PM GMT+1","9","8","9","8","10","9","8","10","8","10","10","10","7","7","9","9","10","3","Yes"
"2019/12/27 3:11:24 PM GMT+1","6","7","8","8","8","9","6","7","8","9","9","9","6","7","8","9","7","2","Yes"
"2019/12/27 3:12:37 PM GMT+1","6","6","7","6","7","7","6","7","6","8","9","6","4","5","7","8","7","3","No"
"2019/12/27 3:13:27 PM GMT+1","6","5","7","6","8","8","7","8","7","8","9","8","5","6","8","9","7","6","No"
"2019/12/27 3:13:59 PM GMT+1","7","7","8","6","8","8","4","8","7","8","9","8","7","8","7","9","6","6","Yes"
"2019/12/27 3:16:04 PM GMT+1","5","6","7","6","8","8","7","8","7","9","10","6","5","5","8","10","10","4","Yes"
"2019/12/27 3:17:37 PM GMT+1","7","7","8","7","8","8","7","8","7","8","9","7","6","7","8","9","8","4","No"
"2019/12/27 3:17:55 PM GMT+1","6","5","8","7","9","7","6","8","6","8","9","8","","","8","9","8","2","Yes"
"2019/12/27 3:18:30 PM GMT+1","7","5","8","7","9","8","5","9","6","10","8","10","3","6","8","9","8","6","Yes"
"2019/12/27 3:19:20 PM GMT+1","6","7","8","7","8","7","6","8","7","8","9","7","6","6","9","9","8","3","Yes"
"2019/12/27 3:19:41 PM GMT+1","7","6","7","7","7","8","6","8","7","9","9","8","7","6","8","9","3","1","No"
"2019/12/27 3:20:00 PM GMT+1","7","6","8","8","9","10","6","7","6","8","10","8","6","6","7","10","8","10","Yes"
"2019/12/27 3:20:49 PM GMT+1","5","5","6","6","7","7","4","8","7","8","9","8","6","6","7","10","8","1","Yes"
"2019/12/27 3:22:59 PM GMT+1","7","8","8","8","8","8","7","8","7","8","10","9","7","","8","8","8","10",""
"2019/12/27 3:23:22 PM GMT+1","8","7","7","7","8","8","6","10","9","10","10","10","8","","8","10","8","3","Yes"
"2019/12/27 3:24:26 PM GMT+1","6","4","7","6","7","8","6","8","6","8","9","7","5","6","8","9","7","2","Yes"
"2019/12/27 3:25:59 PM GMT+1","6","6","6","6","7","8","6","7","7","9","10","7","5","5","7","10","8","10","Yes"
"2019/12/27 3:26:51 PM GMT+1","5","5","5","5","6","6","6","7","5","6","6","5","5","5","6","6","5","4","Yes"
"2019/12/27 3:27:38 PM GMT+1","7","7","8","7","9","7","6","7","5","7","9","8","5","8","7","9","8","5","Yes"
"2019/12/27 3:27:43 PM GMT+1","7","8","9","9","8","8","8","10","8","10","10","7","8","8","9","9","9","4","Yes"
