"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/08/31 9:23:19 PM GMT+1","5","6","6","4","6","4","5","4","7","8","4","5","7","3","4","5","8","Yes"
"2019/08/31 9:23:20 PM GMT+1","7","6","5","3","4","5","5","2","4","7","2","3","5","3","1","4","5","Yes"
"2019/08/31 9:24:17 PM GMT+1","6","6","7","7","9","8","4","2","7","9","3","2","5","4","1","5","4","Yes"
"2019/08/31 9:25:08 PM GMT+1","4","5","8","8","7","7","4","4","6","7","3","1","5","5","1","4","3","Yes"
"2019/08/31 9:25:14 PM GMT+1","6","6","5","5","7","6","3","6","5","7","3","1","3","4","2","4","5","Yes"
"2019/08/31 9:25:16 PM GMT+1","5","5","6","4","7","5","4","4","7","8","5","5","6","6","6","6","5","Yes"
"2019/08/31 9:26:12 PM GMT+1","8","6","6","2","8","6","3","4","2","8","1","5","1","2","1","3","7","Yes"
"2019/08/31 9:26:54 PM GMT+1","8","7","6","4","8","7","6","6","7","8","5","4","5","6","4","6","7","Yes"
"2019/08/31 9:27:39 PM GMT+1","6","6","7","6","8","6","8","4","7","9","4","3","6","5","3","7","6","Yes"
"2019/08/31 9:27:46 PM GMT+1","5","4","7","3","8","6","5","4","7","9","4","4","6","6","3","3","5","Yes"
"2019/08/31 9:27:47 PM GMT+1","6","7","6","3","8","2","5","7","7","9","1","3","3","5","2","3","5","Yes"
"2019/08/31 9:28:04 PM GMT+1","6","6","6","5","7","6","6","3","7","8","2","3","5","5","3","3","6","Yes"
"2019/08/31 9:28:15 PM GMT+1","7","6","8","6","9","6","5","3","7","9","3","2","2","6","1","4","4","Yes"
"2019/08/31 9:30:27 PM GMT+1","6","7","6","6","7","7","7","6","8","9","3","4","5","5","1","3","5","Yes"
"2019/08/31 9:30:28 PM GMT+1","7","5","7","4","6","6","6","4","6","8","1","1","4","4","1","4","6","Yes"
"2019/08/31 9:31:36 PM GMT+1","7","7","6","5","7","7","5","5","6","8","1","2","4","4","1","4","6","Yes"
"2019/08/31 9:32:11 PM GMT+1","5","5","5","3","6","5","4","2","3","8","4","5","1","5","5","5","7","Yes"
"2019/08/31 9:33:37 PM GMT+1","5","4","6","4","8","6","4","4","7","9","4","4","4","6","3","6","4","Yes"
