"Timestamp","David de Gea","Ashley Young","Harry Maguire","Victor Lindelof","Aaron Wan-Bissaka","Scott McTominay","Paul Pogba","Andreas Pereira","Juan Mata","Daniel James","Marcus Rashford","Jesse Lingard (sub for Pereira/optional)","Nemanja Matic (sub for Mata/optional)","Rate team performance?","Rate final result?","Ole Gunnar Soslkjaer (only this match)","Rate opponent - Southampton (only by this performance)","Were you happy with the referee? (optional)"
"2019/09/01 12:09:30 PM GMT+1","7","5","6","4","7","8","7","4","5","7","5","4","4","5","1","6","5","Yes"
"2019/09/01 12:21:42 PM GMT+1","6","5","6","3","7","5","4","3","6","8","3","1","3","3","1","4","7","Yes"
"2019/09/01 12:21:47 PM GMT+1","5","6","6","5","7","7","5","6","7","8","4","","","5","5","6","7","Yes"
"2019/09/01 12:26:59 PM GMT+1","7","7","6","5","7","7","5","5","6","8","4","5","5","5","4","3","7","Yes"
"2019/09/01 12:29:04 PM GMT+1","6","6","6","4","8","6","5","4","6","7","3","3","5","5","5","4","7","Yes"
"2019/09/01 12:31:35 PM GMT+1","5","4","6","5","6","5","5","4","5","6","3","2","5","5","2","4","6","Yes"
"2019/09/01 12:36:27 PM GMT+1","6","6","6","5","8","7","4","5","6","8","4","3","6","4","2","6","5","Yes"
"2019/09/01 12:40:22 PM GMT+1","6","7","6","6","8","7","7","4","8","9","5","6","6","4","3","5","8","Yes"
"2019/09/01 12:44:26 PM GMT+1","6","7","7","5","7","8","4","4","5","7","2","4","5","4","1","4","7","Yes"
"2019/09/01 12:45:54 PM GMT+1","5","5","6","4","6","4","5","5","4","7","2","2","3","4","3","3","6","Yes"
"2019/09/01 12:50:33 PM GMT+1","5","7","5","4","7","5","4","4","6","9","4","","","6","2","5","5","No"
"2019/09/01 12:54:07 PM GMT+1","5","6","6","4","7","5","6","4","5","7","4","3","3","3","1","4","7","No"
"2019/09/01 12:54:49 PM GMT+1","4","3","6","6","7","6","6","4","4","8","3","2","5","3","2","8","5","Yes"
"2019/09/01 12:57:17 PM GMT+1","6","6","6","6","7","7","4","5","6","8","4","","5","6","3","5","5","Yes"
"2019/09/01 1:04:56 PM GMT+1","7","8","7","5","7","7","8","5","8","7","4","7","7","6","2","6","7","Yes"
"2019/09/01 1:07:22 PM GMT+1","5","3","5","5","6","5","7","4","6","6","4","2","3","5","4","3","6","Yes"
"2019/09/01 1:23:48 PM GMT+1","6","4","5","10","7","8","10","3","7","10","1","1","8","3","1","6","10","Yes"
"2019/09/01 1:28:32 PM GMT+1","2","4","4","3","7","3","3","5","4","8","3","1","1","3","1","5","5","Yes"
"2019/09/01 1:37:05 PM GMT+1","7","7","7","4","8","6","6","4","9","10","1","1","5","4","4","2","5","Yes"
"2019/09/01 1:37:08 PM GMT+1","6","6","6","4","7","5","4","3","5","7","3","4","4","4","3","5","4","Yes"
"2019/09/01 1:41:13 PM GMT+1","5","5","5","4","7","7","4","3","4","8","4","3","3","5","2","3","7","No"
"2019/09/01 1:41:55 PM GMT+1","6","5","7","5","8","7","6","4","6","9","4","3","4","5","1","6","5","No"
"2019/09/01 1:45:33 PM GMT+1","5","6","6","5","8","6","5","5","6","7","4","4","5","4","4","5","6","Yes"
"2019/09/01 1:59:14 PM GMT+1","5","6","6","3","7","7","3","3","5","8","3","1","5","5","1","6","6","Yes"
"2019/09/01 2:05:34 PM GMT+1","6","6","7","5","8","7","5","3","6","8","4","4","6","4","4","4","3","Yes"
"2019/09/01 2:09:40 PM GMT+1","5","1","5","3","5","5","4","3","6","7","2","1","4","3","1","4","5","No"
"2019/09/01 2:29:06 PM GMT+1","7","8","7","3","9","6","6","3","6","9","1","1","5","4","2","4","8","Yes"
"2019/09/01 2:57:05 PM GMT+1","7","7","7","6","8","6","5","4","6","8","6","4","6","7","4","7","6","Yes"
"2019/09/01 3:02:09 PM GMT+1","6","4","6","4","7","7","6","5","6","9","3","2","2","4","4","5","7","No"
"2019/09/01 3:03:48 PM GMT+1","6","3","5","5","6","7","5","5","6","7","6","4","6","6","2","4","6","Yes"
"2019/09/01 3:08:02 PM GMT+1","6","5","6","3","7","3","6","4","6","8","4","3","2","4","1","4","4","Yes"
"2019/09/01 3:18:42 PM GMT+1","6","8","7","6","9","8","6","5","8","10","4","1","1","4","2","4","2","No"
"2019/09/01 3:25:43 PM GMT+1","6","6","7","5","7","5","6","3","5","8","3","4","5","5","7","5","6","No"
"2019/09/01 4:09:04 PM GMT+1","7","5","6","5","6","6","6","4","4","7","3","5","5","5","3","2","7","No"
"2019/09/01 4:11:23 PM GMT+1","6","6","6","5","7","6","5","5","6","8","4","4","5","4","3","5","5","Yes"
"2019/09/01 4:14:39 PM GMT+1","6","7","7","4","8","5","3","2","5","8","3","1","5","4","2","3","7","Yes"
"2019/09/01 4:19:16 PM GMT+1","5","6","6","4","7","6","6","4","6","8","6","5","5","5","5","6","5","No"
"2019/09/01 4:25:17 PM GMT+1","6","6","4","5","7","7","6","5","7","9","3","","","5","4","4","6","Yes"
"2019/09/01 4:28:16 PM GMT+1","5","5","5","5","5","5","5","2","5","7","2","2","3","3","2","2","6","Yes"
"2019/09/01 5:16:32 PM GMT+1","5","6","7","2","8","6","6","3","8","9","4","1","3","3","1","1","3","Yes"
"2019/09/01 5:52:48 PM GMT+1","6","7","8","5","10","6","5","5","7","8","6","","","5","1","7","7","Yes"
"2019/09/01 6:17:03 PM GMT+1","6","5","7","2","8","6","5","5","6","8","3","1","4","6","1","4","7","Yes"
"2019/09/01 6:21:42 PM GMT+1","6","6","6","5","8","6","6","3","4","8","3","3","5","5","5","5","5","Yes"
"2019/09/01 6:58:32 PM GMT+1","6","4","6","5","7","5","6","5","5","8","4","4","6","4","3","5","7","Yes"
"2019/09/01 6:59:18 PM GMT+1","7","7","7","5","8","6","4","4","7","8","4","4","4","5","1","4","5","No"
"2019/09/01 7:09:48 PM GMT+1","6","6","5","5","7","5","6","5","7","8","5","4","5","5","5","5","7","Yes"
"2019/09/01 7:55:20 PM GMT+1","6","6","7","6","7","6","6","4","5","7","3","3","5","5","3","5","6","Yes"
"2019/09/01 7:55:43 PM GMT+1","4","5","6","6","8","4","4","5","7","9","4","3","5","4","1","8","8","No"
"2019/09/01 8:04:59 PM GMT+1","4","4","4","2","7","3","4","4","6","8","1","3","","4","2","3","5","Yes"
"2019/09/01 8:28:35 PM GMT+1","5","6","7","4","5","5","5","5","5","7","2","5","8","4","1","1","2","Yes"
