"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Matic","Pogba","Rashford","Bruno","Greenwood","Martial","Bailly","Fred","James","Team Performance","Final Result","Ole","Bournemouth","Did the ref do a good job?"
"2020/07/07 4:56:58 PM GMT+2","5","10","6","10","10","7","10","8","10","10","9","6","10","8","10","9","10","7","No"
"2020/07/07 4:57:00 PM GMT+2","4","7","5","7","7","7","7","7","9","10","8","5","6","5","8","9","9","3","Yes"
"2020/07/07 4:57:00 PM GMT+2","6","9","6","7","8","10","8","7","8","9","7","9","6","6","8","9","9","8","Yes"
"2020/07/07 4:57:23 PM GMT+2","4","6","3","6","6","7","7","7","9","10","8","6","6","6","7","8","8","5","No"
"2020/07/07 4:57:25 PM GMT+2","5","7","5","5","6","6","8","7","9","9","7","4","6","","8","9","10","4","No"
"2020/07/07 4:57:52 PM GMT+2","4","7","4","7","7","6","8","8","9","10","8","5","7","6","6","6","8","6","Yes"
"2020/07/07 4:58:12 PM GMT+2","6","7","7","7","8","8","8","9","9","10","8","6","8","7","8","8","8","7","No"
"2020/07/07 4:58:24 PM GMT+2","5","8","5","6","8","9","8","8","9","10","9","6","7","6","9","9","9","5","No"
"2020/07/07 4:58:38 PM GMT+2","5","8","6","6","8","8","8","8","10","10","9","6","7","7","8","9","9","6","Yes"
"2020/07/07 4:58:41 PM GMT+2","6","8","6","7","7","7","8","7","8","9","8","6","6","6","8","8","8","7","Yes"
"2020/07/07 4:58:47 PM GMT+2","5","6","5","7","7","8","7","7","10","10","8","4","7","6","8","8","9","3",""
"2020/07/07 4:58:54 PM GMT+2","6","8","6","8","8","9","9","9","9","10","10","7","8","8","8","9","8","6","No"
"2020/07/07 4:59:08 PM GMT+2","2","8","4","8","7","8","7","8","10","10","9","6","7","5","8","9","10","3","Yes"
"2020/07/07 4:59:34 PM GMT+2","4","8","5","8","8","6","8","8","9","9","8","6","7","7","8","7","8","5","No"
"2020/07/07 4:59:54 PM GMT+2","6","7","5","6","7","8","8","8","9","10","8","7","8","6","8","8","9","6","Yes"
"2020/07/07 5:00:00 PM GMT+2","5","7","6","5","8","8","8","7","9","10","9","5","7","6","7","8","8","6","No"
"2020/07/07 5:00:41 PM GMT+2","5","7","5","7","6","6","7","8","8","9","8","6","6","6","7","8","9","6","Yes"
"2020/07/07 5:01:06 PM GMT+2","4","7","4","7","8","6","8","7","9","10","9","5","10","7","9","9","9","5","No"
"2020/07/07 5:01:24 PM GMT+2","1","7","5","7","7","7","7","7","8","9","8","4","7","7","7","8","8","5","Yes"
"2020/07/07 5:02:28 PM GMT+2","2","7","2","8","7","4","8","5","8","10","8","3","6","5","6","8","10","3","Yes"
"2020/07/07 5:02:36 PM GMT+2","5","8","6","7","8","8","8","8","9","9","8","6","7","6","9","8","8","5","No"
"2020/07/07 5:02:49 PM GMT+2","6","8","5","7","9","9","9","8","10","10","9","4","7","6","9","9","10","6","No"
"2020/07/07 5:03:58 PM GMT+2","5","8","6","6","7","9","9","8","10","10","9","7","8","6","8","8","9","7","No"
