"Timestamp","David de Gea","Marcos Rojo","Harry Maguire","Victor Lindelof","Ashley Young","Aaron Wan-Bissaka","Fred","Scott McTominay","Andreas Pereira","Marcus Rashford","Daniel James","Team performance","Final result","Rate Ole (only this match)","Rate Liverpool (only this match)","Were you happy with the ref's performance? (optional)"
"2019/10/21 12:57:31 PM GMT+1","7","5","7","6","6","7","7","7","7","8","9","7","6","7","5","Yes"
"2019/10/21 12:57:37 PM GMT+1","7","5","6","5","5","6","6","7","6","6","8","7","5","7","3","Yes"
"2019/10/21 12:57:37 PM GMT+1","8","5","7","7","6","9","4","6","8","10","10","8","6","8","6","Yes"
"2019/10/21 12:57:39 PM GMT+1","8","6","7","6","6","7","7","7","7","8","8","8","7","7","5","Yes"
"2019/10/21 12:58:42 PM GMT+1","7","5","6","5","3","7","6","6","5","7","8","7","4","7","4","No"
"2019/10/21 12:58:58 PM GMT+1","6","5","6","4","6","7","4","4","7","8","8","6","5","6","5","Yes"
"2019/10/21 1:00:07 PM GMT+1","10","6","6","6","6","6","3","6","4","8","7","6","6","7","9","No"
"2019/10/21 1:00:12 PM GMT+1","10","6","6","6","6","6","3","6","4","8","7","6","6","7","9","No"
"2019/10/21 1:00:15 PM GMT+1","7","6","8","7","6","6","7","7","8","9","8","8","6","8","5","Yes"
"2019/10/21 1:00:51 PM GMT+1","8","5","8","8","6","9","6","6","7","8","9","8","4","7","5","No"
"2019/10/21 1:00:54 PM GMT+1","7","6","7","5","5","8","5","7","8","9","8","7","6","7","2","Yes"
"2019/10/21 1:00:58 PM GMT+1","7","5","6","5","5","8","5","6","7","8","8","8","7","9","4","Yes"
"2019/10/21 1:00:59 PM GMT+1","8","7","9","9","7","9","6","9","9","9","9","8","5","9","1","Yes"
"2019/10/21 1:01:00 PM GMT+1","6","6","6","5","6","7","6","6","7","7","7","7","4","8","3","Yes"
"2019/10/21 1:01:02 PM GMT+1","5","6","7","6","5","7","7","7","8","8","8","7","4","7","3","Yes"
"2019/10/21 1:01:05 PM GMT+1","7","6","7","7","6","6","7","6","7","9","8","8","6","10","5","Yes"
"2019/10/21 1:01:08 PM GMT+1","7","5","7","6","6","8","7","9","8","9","9","8","6","6","2","Yes"
"2019/10/21 1:01:11 PM GMT+1","8","5","7","6","6","8","4","7","6","8","9","8","8","7","4","Yes"
"2019/10/21 1:01:24 PM GMT+1","7","5","8","6","6","7","6","6","6","7","8","6","6","6","5","Yes"
"2019/10/21 1:01:31 PM GMT+1","7","6","7","7","6","7","6","10","7","10","9","9","7","8","5","Yes"
"2019/10/21 1:01:43 PM GMT+1","7","4","6","5","5","6","5","5","4","7","8","6","6","7","3","Yes"
"2019/10/21 1:01:44 PM GMT+1","7","5","6","6","6","7","5","8","5","7","8","6","7","6","5","No"
"2019/10/21 1:01:50 PM GMT+1","8","6","7","7","6","7","6","7","7","8","9","8","7","9","7","Yes"
"2019/10/21 1:01:53 PM GMT+1","8","7","8","7","7","8","6","7","10","9","9","8","6","9","3","Yes"
"2019/10/21 1:02:04 PM GMT+1","7","6","8","7","6","7","7","6","6","7","8","7","6","6","4","No"
"2019/10/21 1:02:08 PM GMT+1","8","6","8","8","6","8","5","7","9","9","9","7","5","7","5","Yes"
"2019/10/21 1:02:15 PM GMT+1","7","6","7","7","6","7","7","7","6","6","10","7","6","7","6","Yes"
"2019/10/21 1:02:24 PM GMT+1","8","5","6","6","5","9","6","7","7","7","9","8","5","6","4","No"
"2019/10/21 1:02:25 PM GMT+1","7","6","7","8","7","6","7","8","9","8","9","8","6","9","1","Yes"
"2019/10/21 1:02:58 PM GMT+1","7","6","7","7","6","7","7","8","10","8","10","8","8","9","4","Yes"
"2019/10/21 1:03:22 PM GMT+1","8","9","7","2","10","3","10","5","2","2","3","3","8","3","1","Yes"
"2019/10/21 1:04:09 PM GMT+1","5","6","7","6","6","8","7","6","6","8","8","7","3","9","1","No"
"2019/10/21 1:04:21 PM GMT+1","7","5","7","5","6","8","8","7","8","8","9","8","8","8","5","Yes"
"2019/10/21 1:05:02 PM GMT+1","7","6","7","6","6","7","6","6","6","7","7","7","6","6","4","Yes"
"2019/10/21 1:07:00 PM GMT+1","7","6","7","6","7","7","7","7","7","8","8","7","7","8","4","Yes"
"2019/10/21 1:07:02 PM GMT+1","7","7","9","6","5","7","5","7","8","8","8","7","3","8","2","Yes"
"2019/10/21 1:07:51 PM GMT+1","7","5","7","6","6","6","5","7","7","7","7","7","5","7","5","Yes"
"2019/10/21 1:08:14 PM GMT+1","8","6","7","5","7","9","6","6","7","7","9","7","4","8","1","Yes"
"2019/10/21 1:08:17 PM GMT+1","8","5","8","6","6","8","7","5","8","9","9","8","6","7","5","Yes"
"2019/10/21 1:08:20 PM GMT+1","7","5","7","7","6","7","6","7","8","7","8","7","6","8","5","Yes"
"2019/10/21 1:08:23 PM GMT+1","8","6","7","7","6","7","7","7","7","8","7","7","7","9","4","Yes"
"2019/10/21 1:08:27 PM GMT+1","5","4","7","7","6","8","6","7","5","6","5","6","8","7","4","Yes"
"2019/10/21 1:08:32 PM GMT+1","7","6","7","6","7","7","6","6","7","7","8","7","6","7","3","Yes"
"2019/10/21 1:09:02 PM GMT+1","7","4","7","7","5","6","4","7","8","8","8","8","8","8","6","Yes"
"2019/10/21 1:09:25 PM GMT+1","7","2","7","4","6","7","7","7","7","8","8","7","7","7","4","Yes"
"2019/10/21 1:09:38 PM GMT+1","7","6","8","6","7","7","2","6","6","8","8","8","7","8","6",""
"2019/10/21 1:09:58 PM GMT+1","7","6","8","7","7","7","8","8","9","8","9","8","7","8","6","Yes"
"2019/10/21 1:11:00 PM GMT+1","6","6","7","7","6","7","7","7","7","7","7","6","6","7","4","Yes"
"2019/10/21 1:11:19 PM GMT+1","5","6","6","2","6","5","5","2","5","7","7","7","6","7","4","Yes"
"2019/10/21 1:11:21 PM GMT+1","7","7","6","8","9","8","9","9","9","9","10","8","1","10","6","No"
"2019/10/21 1:11:27 PM GMT+1","9","7","9","6","7","8","7","8","9","9","10","8","7","8","4","Yes"
