"Timestamp","De Gea","Shaw","Maguire","Lindelof","Wan-Bissaka","Fred","Pereira","Daniel James","Bruno Fernandes ❤️ ","Mata","Martial","Greenwood (optional)","Team Performance","Final Result","Ole","Wolves","Did the ref/VAR do a good job?"
"2020/02/03 7:46:07 PM GMT+1","8","7","7","8","9","8","6","4","10","7","4","5","4","6","9","7","No"
"2020/02/03 7:46:45 PM GMT+1","9","8","8","8","9","8","3","3","9","8","7","7","7","6","8","6","No"
"2020/02/03 7:47:23 PM GMT+1","8","8","6","6","4","7","5","5","7","6","5","5","5","5","5","6","Yes"
"2020/02/03 7:48:05 PM GMT+1","9","8","9","8","7","8","2","5","8","7","5","5","4","3","4","5","Yes"
"2020/02/03 7:48:40 PM GMT+1","8","7","7","7","8","9","4","5","8","5","6","6","6","6","5","6","No"
"2020/02/03 7:51:13 PM GMT+1","5","8","8","6","6","8","1","3","7","5","1","5","4","3","2","6","No"
"2020/02/03 7:51:26 PM GMT+1","9","9","9","7","7","7","3","3","7","5","2","6","4","3","3","6","No"
"2020/02/03 7:52:12 PM GMT+1","9","7","8","8","9","7","3","6","6","6","3","","7","5","5","5","Yes"
"2020/02/03 7:52:36 PM GMT+1","7","7","9","8","6","7","3","3","7","5","3","6","6","5","6","6","Yes"
"2020/02/03 7:52:45 PM GMT+1","7","9","7","7","9","7","3","5","8","5","6","5","5","5","7","5","No"
"2020/02/03 7:53:33 PM GMT+1","8","8","6","6","6","7","2","4","7","5","4","6","3","3","4","5","No"
"2020/02/03 7:56:01 PM GMT+1","7","8","9","8","6","7","5","4","5","6","4","6","5","5","4","7","Yes"
"2020/02/03 7:56:14 PM GMT+1","7","7","6","6","7","7","2","3","8","7","4","","5","4","1","4","No"
"2020/02/03 7:56:49 PM GMT+1","8","7","9","6","7","8","2","4","8","4","5","5","7","4","5","1","No"
"2020/02/03 7:57:55 PM GMT+1","6","7","7","6","7","8","1","5","8","6","1","5","6","2","6","6","Yes"
"2020/02/03 7:58:17 PM GMT+1","7","7","8","7","8","8","5","6","8","7","5","6","7","6","7","7","No"
"2020/02/03 7:58:47 PM GMT+1","8","8","8","8","9","8","2","5","10","8","6","7","6","1","1","7","No"
"2020/02/03 8:00:08 PM GMT+1","8","8","6","7","7","7","2","5","7","6","3","6","5","3","5","7","No"
"2020/02/03 8:01:13 PM GMT+1","7","7","7","6","7","7","4","5","7","6","4","","6","4","5","6",""
"2020/02/03 8:01:31 PM GMT+1","7","8","6","6","8","7","4","4","8","6","5","5","6","4","4","5","Yes"
"2020/02/03 8:03:56 PM GMT+1","7","7","5","6","5","7","4","4","8","5","2","","5","4","2","5","Yes"
"2020/02/03 8:04:15 PM GMT+1","5","7","5","5","6","6","2","4","6","5","4","6","4","3","3","5","No"
"2020/02/03 8:04:34 PM GMT+1","7","8","7","7","8","7","3","3","7","6","4","4","4","4","1","6","Yes"
"2020/02/03 8:04:36 PM GMT+1","9","8","7","7","6","8","4","6","8","5","5","6","5","5","4","5","No"
"2020/02/03 8:05:03 PM GMT+1","7","7","8","7","7","7","3","4","7","6","5","5","5","4","5","6","Yes"
"2020/02/03 8:05:30 PM GMT+1","6","7","7","6","6","7","2","3","7","6","3","6","4","2","3","5","Yes"
"2020/02/03 8:05:36 PM GMT+1","8","8","7","6","7","7","2","3","8","7","2","5","6","5","6","8","No"
"2020/02/03 8:06:54 PM GMT+1","7","8","6","6","4","7","3","3","7","6","1","5","5","3","5","5","Yes"
"2020/02/03 8:07:07 PM GMT+1","7","7","7","7","8","7","3","4","7","6","3","","6","6","5","7","Yes"
"2020/02/03 8:07:35 PM GMT+1","7","7","6","6","6","7","2","3","7","5","3","","4","2","3","5","Yes"
"2020/02/03 8:09:16 PM GMT+1","8","8","9","8","8","8","5","6","8","8","6","","7","6","7","7","Yes"
"2020/02/03 8:09:21 PM GMT+1","8","8","8","8","8","9","3","3","9","6","4","","5","5","5","6","Yes"
"2020/02/03 8:09:41 PM GMT+1","9","9","8","8","8","7","3","5","8","6","4","6","6","5","3","6","Yes"
"2020/02/03 8:10:09 PM GMT+1","9","8","8","6","7","7","3","5","7","6","5","","5","5","6","5","No"
"2020/02/03 8:10:17 PM GMT+1","7","8","7","7","7","8","4","5","7","6","4","5","5","4","6","7","No"
"2020/02/03 8:10:40 PM GMT+1","7","6","7","5","8","7","2","3","7","3","3","7","5","4","6","7","Yes"
"2020/02/03 8:12:43 PM GMT+1","7","9","8","8","8","9","6","7","8","7","6","","6","5","6","7","Yes"
"2020/02/03 8:13:35 PM GMT+1","7","6","6","5","6","7","3","3","6","5","4","5","4","4","3","6","Yes"
"2020/02/03 8:14:02 PM GMT+1","7","7","9","7","7","7","3","4","7","6","2","","4","4","4","7","Yes"
"2020/02/03 8:15:26 PM GMT+1","8","7","7","7","7","8","3","5","6","6","5","6","7","4","6","8",""
"2020/02/03 8:15:29 PM GMT+1","7","8","7","6","7","7","1","3","7","7","2","","5","4","6","5",""
"2020/02/03 8:17:34 PM GMT+1","7","7","7","7","7","8","6","5","8","7","5","6","5","5","3","6","Yes"
"2020/02/03 8:19:07 PM GMT+1","7","8","8","8","8","8","6","6","7","7","6","","7","5","5","6","No"
"2020/02/03 8:19:24 PM GMT+1","9","8","7","6","8","8","3","6","9","6","5","","6","4","5","7","Yes"
"2020/02/03 8:20:05 PM GMT+1","8","6","6","6","7","7","2","6","8","5","4","6","4","4","3","5","Yes"
"2020/02/03 8:20:33 PM GMT+1","6","6","6","5","7","7","4","4","8","6","3","","5","4","5","5","Yes"
"2020/02/03 8:21:17 PM GMT+1","7","4","6","6","6","7","2","4","7","5","2","","2","2","1","7","Yes"
"2020/02/03 8:21:19 PM GMT+1","7","7","7","7","6","7","4","4","7","6","3","","5","5","3","5","No"
"2020/02/03 8:24:00 PM GMT+1","7","8","7","6","7","7","3","5","7","6","3","5","6","5","6","8","Yes"
"2020/02/03 8:24:47 PM GMT+1","7","7","7","7","7","8","5","6","8","6","4","6","6","5","3","6","Yes"
"2020/02/03 8:25:47 PM GMT+1","8","7","8","7","8","8","2","2","8","3","3","6","3","2","2","3","Yes"
"2020/02/03 8:27:52 PM GMT+1","8","7","7","6","6","7","3","4","8","6","4","5","4","5","4","7","Yes"
"2020/02/03 8:28:03 PM GMT+1","8","8","8","6","8","7","3","4","7","6","4","4","4","3","4","7","Yes"
"2020/02/03 8:29:03 PM GMT+1","10","8","8","8","8","9","3","3","10","9","2","5","6","4","9","7","No"
"2020/02/03 8:29:08 PM GMT+1","8","6","7","6","7","8","3","5","7","6","5","","6","5","5","6","Yes"
"2020/02/03 8:30:01 PM GMT+1","8","8","7","6","6","7","4","3","6","6","9","5","5","5","3","5","Yes"
"2020/02/03 8:30:13 PM GMT+1","6","7","7","6","7","8","2","4","8","5","5","6","5","5","6","8","Yes"
"2020/02/03 8:30:28 PM GMT+1","6","6","7","7","7","7","1","2","7","4","2","","3","2","1","3","No"
"2020/02/03 8:31:08 PM GMT+1","9","8","7","6","7","8","2","6","7","7","3","","7","3","6","7","No"
"2020/02/03 8:31:25 PM GMT+1","7","6","7","7","8","7","4","5","7","6","6","","5","4","7","5","Yes"
"2020/02/03 8:32:34 PM GMT+1","8","8","8","8","9","9","6","7","9","6","6","6","6","4","6","7","Yes"
"2020/02/03 8:33:50 PM GMT+1","7","5","6","5","6","6","3","4","6","4","4","5","5","4","4","5","No"
"2020/02/03 8:34:49 PM GMT+1","8","9","9","8","8","8","3","5","8","6","7","","7","6","6","6","Yes"
"2020/02/03 8:34:56 PM GMT+1","7","7","7","6","7","7","1","5","8","6","4","6","5","3","5","6","Yes"
"2020/02/03 8:35:09 PM GMT+1","6","6","6","6","6","7","2","3","7","5","5","5","5","4","5","4","Yes"
"2020/02/03 8:36:30 PM GMT+1","8","8","8","6","8","7","2","2","8","4","1","","3","2","3","5","Yes"
"2020/02/03 8:37:25 PM GMT+1","7","9","8","8","7","9","3","4","8","6","4","6","6","6","5","6","No"
"2020/02/03 8:40:26 PM GMT+1","7","9","7","7","8","9","5","5","7","7","3","5","5","4","7","5","No"
"2020/02/03 8:41:14 PM GMT+1","7","8","8","6","7","7","4","5","7","6","3","6","7","5","7","8","Yes"
"2020/02/03 8:41:41 PM GMT+1","8","7","4","4","3","4","1","1","7","6","2","","3","2","1","5","Yes"
"2020/02/03 8:42:23 PM GMT+1","9","7","7","7","6","7","2","4","9","8","5","7","5","1","7","4","No"
"2020/02/03 8:42:33 PM GMT+1","8","8","7","7","8","8","3","4","8","7","4","6","5","5","4","8","No"
"2020/02/03 8:43:39 PM GMT+1","8","7","7","5","7","7","1","2","8","3","2","","5","5","1","6","Yes"
"2020/02/03 8:43:41 PM GMT+1","7","7","6","4","6","7","1","3","7","4","3","5","4","3","3","6","No"
"2020/02/03 8:44:14 PM GMT+1","7","7","7","6","7","7","3","4","7","5","5","","5","5","6","6","Yes"
"2020/02/03 8:44:19 PM GMT+1","7","7","8","7","8","7","3","5","7","6","5","5","6","6","5","6","Yes"
"2020/02/03 8:44:32 PM GMT+1","6","6","6","6","8","7","3","5","7","7","4","5","5","3","5","7","Yes"
"2020/02/03 8:44:51 PM GMT+1","7","7","6","8","7","9","2","4","8","6","3","6","6","5","8","8","No"
"2020/02/03 8:47:01 PM GMT+1","6","6","7","6","8","7","3","4","7","6","6","","6","6","5","6","No"
"2020/02/03 8:49:57 PM GMT+1","6","7","9","7","7","7","2","4","7","5","6","6","5","5","6","7","Yes"
"2020/02/03 8:50:06 PM GMT+1","8","9","9","8","8","8","3","3","8","6","3","4","3","4","6","6","No"
"2020/02/03 8:50:12 PM GMT+1","6","6","5","5","7","7","2","2","8","7","7","","5","4","3","6","Yes"
"2020/02/03 8:51:13 PM GMT+1","6","8","7","6","8","8","3","5","9","7","3","","5","6","4","6","Yes"
"2020/02/03 8:51:31 PM GMT+1","7","8","7","8","7","7","1","5","7","8","3","2","4","4","10","6","Yes"
"2020/02/03 8:53:37 PM GMT+1","8","6","8","8","7","7","6","6","9","6","6","7","7","6","7","7","Yes"
"2020/02/03 8:53:52 PM GMT+1","7","8","8","8","8","8","3","4","7","6","4","5","5","5","7","8","No"
"2020/02/03 8:54:12 PM GMT+1","8","7","8","7","7","5","3","3","9","6","5","5","5","3","7","8","Yes"
"2020/02/03 8:54:27 PM GMT+1","6","8","6","6","7","8","6","5","7","6","5","5","5","4","5","7","Yes"
"2020/02/03 8:56:52 PM GMT+1","7","8","8","8","9","9","4","5","9","6","4","7","8","5","7","9","Yes"
"2020/02/03 8:59:00 PM GMT+1","7","7","8","7","5","7","4","4","9","5","4","","3","5","2","6",""
"2020/02/03 9:01:49 PM GMT+1","7","8","6","6","6","6","3","5","8","7","4","","6","5","4","7","Yes"
"2020/02/03 9:03:57 PM GMT+1","8","8","7","7","7","7","4","5","8","6","4","","5","2","5","4","Yes"
"2020/02/03 9:07:08 PM GMT+1","7","6","7","6","7","7","5","7","8","7","4","","6","5","6","8","No"
"2020/02/03 9:08:03 PM GMT+1","7","8","8","7","9","8","2","4","8","5","4","5","5","3","4","5","No"
"2020/02/03 9:08:14 PM GMT+1","7","7","7","6","6","7","5","5","6","6","4","6","4","5","5","6","Yes"
"2020/02/03 9:08:33 PM GMT+1","7","8","6","7","7","9","1","3","7","5","4","6","4","1","3","7","Yes"
"2020/02/03 9:09:24 PM GMT+1","7","9","8","7","8","9","4","5","7","5","3","","7","7","7","8","Yes"
"2020/02/03 9:11:03 PM GMT+1","7","5","5","5","4","5","2","3","6","5","3","4","3","3","3","6","Yes"
